"coefficient","k","ARI","ARI_batch","NMI","NMI_batch"
"bicor",2,0.29678223348577,0.29678223348577,0.634455584870667,0.634455584870667
"bicor",5,0.418992161203662,0.418992161203662,0.663869666326418,0.663869666326418
"bicor",10,0.448096494441041,0.448096494441041,0.643677448059106,0.643677448059106
"bicor",20,0.532604047841766,0.532604047841766,0.665111242060988,0.665111242060988
"bicor",50,0.42586228614056,0.42586228614056,0.586392289124698,0.586392289124698
"binomial",2,0.450047947869568,0.450047947869568,0.750939013009995,0.750939013009995
"binomial",5,0.58115587926955,0.58115587926955,0.807200441010061,0.807200441010061
"binomial",10,0.720597706158203,0.720597706158203,0.853562377641269,0.853562377641269
"binomial",20,0.723431813603322,0.723431813603322,0.855473426024235,0.855473426024235
"binomial",50,0.577521201840011,0.577521201840011,0.764636956595193,0.764636956595193
"canberra",2,0.347735287541414,0.347735287541414,0.67443488541882,0.67443488541882
"canberra",5,0.472945418902528,0.472945418902528,0.717700352845586,0.717700352845586
"canberra",10,0.450106178863923,0.450106178863923,0.655990718899589,0.655990718899589
"canberra",20,0.543543643767741,0.543543643767741,0.669736503009154,0.669736503009154
"canberra",50,0.338262834333474,0.338262834333474,0.52432648913641,0.52432648913641
"cosine",2,0.189159989982547,0.189159989982547,0.546608833757659,0.546608833757659
"cosine",5,0.37143000823791,0.37143000823791,0.600625803118006,0.600625803118006
"cosine",10,0.431574937689655,0.431574937689655,0.610685362918631,0.610685362918631
"cosine",20,0.337628609574361,0.337628609574361,0.48420547208195,0.48420547208195
"cosine",50,0.337144405037011,0.337144405037011,0.447997220650691,0.447997220650691
"dice",2,0.224760577258455,0.224760577258455,0.589892988483535,0.589892988483535
"dice",5,0.286917307251669,0.286917307251669,0.607767867203716,0.607767867203716
"dice",10,0.410178622700683,0.410178622700683,0.622917061834524,0.622917061834524
"dice",20,0.532128744084429,0.532128744084429,0.664338573564501,0.664338573564501
"dice",50,0.393691901796841,0.393691901796841,0.515620568535386,0.515620568535386
"euclidean",2,0.153213330800602,0.153213330800602,0.484318235075409,0.484318235075409
"euclidean",5,0.284818210035369,0.284818210035369,0.509401281866606,0.509401281866606
"euclidean",10,0.339905405842443,0.339905405842443,0.4719195157276,0.4719195157276
