dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Astrocytes-expression.csv.gz	spearman	HIPPIE	20000	366	60.48	60	8.02707539480846	6.1	38.061184799335
Astrocytes-expression.csv.gz	spearman	HIPPIE	50000	517	146.95	146	12.8828246792841	3.54109589041096	28.7242906126829
Astrocytes-expression.csv.gz	spearman	HIPPIE	1e+05	693	283.63	284	17.8108212482006	2.44014084507042	22.984341614307
Astrocytes-expression.csv.gz	spearman	Reactome	20000	622	83.09	83	9.05437558154714	7.49397590361446	59.5192893365613
Astrocytes-expression.csv.gz	spearman	Reactome	50000	888	198.82	199	13.9887256190278	4.46231155778894	49.2668180625804
Astrocytes-expression.csv.gz	spearman	Reactome	1e+05	1149	379.65	377.5	17.8616314704978	3.04370860927152	43.0727731266172
Astrocytes-expression.csv.gz	spearman	STRING	20000	270	29.48	29	5.37761916453628	9.31034482758621	44.7261125492401
Astrocytes-expression.csv.gz	spearman	STRING	50000	410	70.65	71	7.98404343017681	5.77464788732394	42.5035263106635
Astrocytes-expression.csv.gz	spearman	STRING	1e+05	556	135.17	134.5	11.5295448323168	4.13382899628253	36.5001399552592
Astrocytes-expression.csv.gz	spearman	OmniPath	20000	407	22.2	23	4.22355109337911	17.695652173913	91.1081673909942
Astrocytes-expression.csv.gz	spearman	OmniPath	50000	481	46.27	46	6.22775637729588	10.4565217391304	69.805235411081
Astrocytes-expression.csv.gz	spearman	OmniPath	1e+05	514	78.17	78	8.9905168894449	6.58974358974359	48.4766343647801
