dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
E-MTAB-2805	zi_kendall	HIPPIE	20000	570	332.41	329.5	16.0133120127025	1.7298937784522	14.8370305787793
E-MTAB-2805	zi_kendall	HIPPIE	50000	869	703.95	703	22.1548156974022	1.23613086770982	7.44984757509643
E-MTAB-2805	zi_kendall	HIPPIE	1e+05	1167	1153.34	1152.5	29.4841919637893	1.01258134490239	0.463299113530955
E-MTAB-2805	zi_kendall	Reactome	20000	2003	305.75	307	15.4425458465313	6.52442996742671	109.907395896204
E-MTAB-2805	zi_kendall	Reactome	50000	3157	754.23	755	24.460173773097	4.18145695364238	98.2319268165926
E-MTAB-2805	zi_kendall	Reactome	1e+05	4378	1347.93	1347	30.671690958645	3.25018559762435	98.7904450421556
E-MTAB-2805	zi_kendall	STRING	20000	505	140.3	139.5	10.1309606472616	3.62007168458781	35.9985605213636
E-MTAB-2805	zi_kendall	STRING	50000	748	290.8	290	16.2555351878191	2.57931034482759	28.1258042086857
E-MTAB-2805	zi_kendall	STRING	1e+05	984	463.52	463	19.6404447685655	2.12526997840173	26.5004181999497
E-MTAB-2805	zi_kendall	OmniPath	20000	444	84.23	84.5	8.44812453037999	5.25443786982249	42.5857832358229
E-MTAB-2805	zi_kendall	OmniPath	50000	546	148.47	149	11.2460587933657	3.66442953020134	35.3483835807893
E-MTAB-2805	zi_kendall	OmniPath	1e+05	627	211.77	213.5	14.0013383198705	2.9367681498829	29.6564507273359
