dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
E-MTAB-5061_PSC	manhattan	HIPPIE	20000	11	8.85	9	2.52412601135762	1.22222222222222	0.851779978624604
E-MTAB-5061_PSC	manhattan	HIPPIE	50000	23	21.32	21	4.2755589155576	1.0952380952381	0.392931084141289
E-MTAB-5061_PSC	manhattan	HIPPIE	1e+05	56	49.85	49.5	6.60023721642876	1.13131313131313	0.931784691721674
E-MTAB-5061_PSC	manhattan	Reactome	20000	70	27	27	4.62972390476402	2.59259259259259	9.28781086832255
E-MTAB-5061_PSC	manhattan	Reactome	50000	147	63.56	64	6.59249649988607	2.296875	12.6568136974274
E-MTAB-5061_PSC	manhattan	Reactome	1e+05	293	133.86	133.5	10.5447770593941	2.19475655430712	15.0918316341479
E-MTAB-5061_PSC	manhattan	STRING	20000	12	10.6	10	3.13339780720256	1.2	0.446799316952958
E-MTAB-5061_PSC	manhattan	STRING	50000	32	24.33	25	4.26887963443962	1.28	1.79672435318192
E-MTAB-5061_PSC	manhattan	STRING	1e+05	72	50.69	51	6.89414185516892	1.41176470588235	3.09103010174105
E-MTAB-5061_PSC	manhattan	OmniPath	20000	6	4.56	5	2.39663063149881	1.2	0.600843526354935
E-MTAB-5061_PSC	manhattan	OmniPath	50000	8	10.42	11	3.39393398267967	0.727272727272727	-0.713036851143845
E-MTAB-5061_PSC	manhattan	OmniPath	1e+05	21	22.88	23	5.03980118254639	0.91304347826087	-0.373030588292001
