dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
E-MTAB-5061_alpha	hamming	HIPPIE	20000	318	161.48	161.5	10.844614173204	1.96904024767802	14.4329708277447
E-MTAB-5061_alpha	hamming	HIPPIE	50000	769	404.48	403	18.2338790013081	1.90818858560794	19.9913578440358
E-MTAB-5061_alpha	hamming	HIPPIE	1e+05	1491	832.34	833.5	26.4285658125652	1.78884223155369	24.9222755661923
E-MTAB-5061_alpha	hamming	Reactome	20000	639	301.18	301	15.0174174971207	2.12292358803987	22.4952126465665
E-MTAB-5061_alpha	hamming	Reactome	50000	1725	774.33	775	22.1076589863917	2.2258064516129	43.001839343785
E-MTAB-5061_alpha	hamming	Reactome	1e+05	2936	1425.44	1421	33.2821789302238	2.0661505981703	45.38645150508
E-MTAB-5061_alpha	hamming	STRING	20000	317	109.19	109	8.45510425002483	2.90825688073395	24.5780529553364
E-MTAB-5061_alpha	hamming	STRING	50000	665	258.84	257	14.9765608113937	2.5875486381323	27.1197109346363
E-MTAB-5061_alpha	hamming	STRING	1e+05	997	422.87	423.5	18.7657839288596	2.35419126328217	30.5945119146903
E-MTAB-5061_alpha	hamming	OmniPath	20000	217	44.28	44	6.21350760582755	4.93181818181818	27.7975035933019
E-MTAB-5061_alpha	hamming	OmniPath	50000	556	111.7	112	8.60291235629546	4.96428571428571	51.6453012188215
E-MTAB-5061_alpha	hamming	OmniPath	1e+05	850	185.46	186	12.0934242086726	4.56989247311828	54.950524229807
