dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
E-MTAB-5061_alpha	zi_kendall	HIPPIE	20000	349	51.67	50.5	6.82250435372273	6.91089108910891	43.5807710166957
E-MTAB-5061_alpha	zi_kendall	HIPPIE	50000	546	124.1	124.5	10.9898943478897	4.3855421686747	38.3898140095418
E-MTAB-5061_alpha	zi_kendall	HIPPIE	1e+05	800	245.37	247	14.8879009924031	3.23886639676113	37.2537404892076
E-MTAB-5061_alpha	zi_kendall	Reactome	20000	457	104.17	103	9.17292348450183	4.4368932038835	38.4642911931105
E-MTAB-5061_alpha	zi_kendall	Reactome	50000	800	233.87	235.5	14.5967029624411	3.39702760084926	38.7847859517806
E-MTAB-5061_alpha	zi_kendall	Reactome	1e+05	1195	419.66	421	17.8762412156471	2.83847980997625	43.3726525977589
E-MTAB-5061_alpha	zi_kendall	STRING	20000	142	14.28	14	3.74187334922177	10.1428571428571	34.132635736205
E-MTAB-5061_alpha	zi_kendall	STRING	50000	232	39.49	39	5.61292699889723	5.94871794871795	34.2976133553531
E-MTAB-5061_alpha	zi_kendall	STRING	1e+05	376	82.81	82	8.5086943057016	4.58536585365854	34.4576957951746
E-MTAB-5061_alpha	zi_kendall	OmniPath	20000	353	22.23	22	3.66213218237847	16.0454545454545	90.3216988156807
E-MTAB-5061_alpha	zi_kendall	OmniPath	50000	463	36.6	36	5.07320152737635	12.8611111111111	84.0494897943698
E-MTAB-5061_alpha	zi_kendall	OmniPath	1e+05	568	54.13	53	6.64489627192528	10.7169811320755	77.3330356067563
