dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
E-MTAB-5061_delta	kendall	HIPPIE	20000	324	68.04	69	7.2584607545438	4.69565217391304	35.2636748555496
E-MTAB-5061_delta	kendall	HIPPIE	50000	463	140.63	140	11.7976671208739	3.30714285714286	27.3248937011981
E-MTAB-5061_delta	kendall	HIPPIE	1e+05	644	246.21	244.5	15.6529888713325	2.63394683026585	25.4130379360664
E-MTAB-5061_delta	kendall	Reactome	20000	356	87.32	88	9.17493291198328	4.04545454545455	29.284137832668
E-MTAB-5061_delta	kendall	Reactome	50000	562	172.52	173	11.9481032686017	3.2485549132948	32.597642591817
E-MTAB-5061_delta	kendall	Reactome	1e+05	809	309.17	309	14.6756549593144	2.61812297734628	34.0584458673694
E-MTAB-5061_delta	kendall	STRING	20000	161	23.39	23	4.92754574516636	7	27.9266813778416
E-MTAB-5061_delta	kendall	STRING	50000	239	54.9	55	7.84895283500039	4.34545454545455	23.4553581694431
E-MTAB-5061_delta	kendall	STRING	1e+05	324	101.33	101	8.88768868159828	3.20792079207921	25.0537578415671
E-MTAB-5061_delta	kendall	OmniPath	20000	324	29.25	29	4.70627133716171	11.1724137931034	62.6291981239143
E-MTAB-5061_delta	kendall	OmniPath	50000	440	47.56	48	5.43709667028463	9.16666666666667	72.1782274250893
E-MTAB-5061_delta	kendall	OmniPath	1e+05	532	71.7	72	7.3793323176657	7.38888888888889	62.3769170685088
