dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
E-MTAB-5061_gamma	weighted_rank	HIPPIE	20000	280	86.51	87	8.60290648560125	3.2183908045977	22.4912359937709
E-MTAB-5061_gamma	weighted_rank	HIPPIE	50000	424	179.72	179.5	12.2210945301618	2.36211699164345	19.9883896975932
E-MTAB-5061_gamma	weighted_rank	HIPPIE	1e+05	605	316.07	317.5	16.8392608825538	1.90551181102362	17.1581165001929
E-MTAB-5061_gamma	weighted_rank	Reactome	20000	421	115.17	115.5	9.85762792373643	3.64502164502164	31.0247051690381
E-MTAB-5061_gamma	weighted_rank	Reactome	50000	633	231.21	232.5	13.3910078376906	2.72258064516129	30.0044630598389
E-MTAB-5061_gamma	weighted_rank	Reactome	1e+05	967	408.68	409.5	19.311837579761	2.36141636141636	28.9107651042552
E-MTAB-5061_gamma	weighted_rank	STRING	20000	123	24.09	23.5	5.0273896272963	5.23404255319149	19.6742260561955
E-MTAB-5061_gamma	weighted_rank	STRING	50000	198	54.9	55.5	7.09317498114429	3.56756756756757	20.174322553779
E-MTAB-5061_gamma	weighted_rank	STRING	1e+05	308	105.85	105	9.85078061819868	2.93333333333333	20.521216321328
E-MTAB-5061_gamma	weighted_rank	OmniPath	20000	266	30.87	31	5.61861084955951	8.58064516129032	41.8484223762238
E-MTAB-5061_gamma	weighted_rank	OmniPath	50000	369	52.31	52	6.89707154954883	7.09615384615385	45.9165890515832
E-MTAB-5061_gamma	weighted_rank	OmniPath	1e+05	469	83.06	83	8.35792734444069	5.65060240963855	46.1765200982166
