dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Enteric_glia-expression.csv.gz	canberra	HIPPIE	20000	558	103.41	103	9.68086209534517	5.41747572815534	46.9575948425688
Enteric_glia-expression.csv.gz	canberra	HIPPIE	50000	771	248.99	250.5	14.7754198012453	3.07784431137725	35.329622238957
Enteric_glia-expression.csv.gz	canberra	HIPPIE	1e+05	1093	510.38	509	22.1518086454047	2.14734774066798	26.3012383921465
Enteric_glia-expression.csv.gz	canberra	Reactome	20000	751	82.88	82.5	7.82676062098374	9.1030303030303	85.3635408509561
Enteric_glia-expression.csv.gz	canberra	Reactome	50000	1016	239.3	239	14.6938453411315	4.2510460251046	52.8588658699052
Enteric_glia-expression.csv.gz	canberra	Reactome	1e+05	1435	472.29	471	19.8567063703623	3.04670912951168	48.4828642798948
Enteric_glia-expression.csv.gz	canberra	STRING	20000	393	45.3	45.5	6.02771377334171	8.63736263736264	57.6835618070893
Enteric_glia-expression.csv.gz	canberra	STRING	50000	559	99.76	100	7.47131889699577	5.59	61.4670590736879
Enteric_glia-expression.csv.gz	canberra	STRING	1e+05	725	167.45	168	10.6603911463857	4.31547619047619	52.3010827974197
Enteric_glia-expression.csv.gz	canberra	OmniPath	20000	488	29.63	30	4.65074122472901	16.2666666666667	98.5584830140077
Enteric_glia-expression.csv.gz	canberra	OmniPath	50000	518	56.97	57	7.10591587369569	9.08771929824561	64.8797436100555
Enteric_glia-expression.csv.gz	canberra	OmniPath	1e+05	555	93.76	94	10.2967289108059	5.90425531914894	44.7948085256427
