dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_1	binomial	HIPPIE	20000	128	63.33	62.5	7.7316808579305	2.048	8.36428729901171
GSE108097_Brain_1	binomial	HIPPIE	50000	319	160.77	161	10.7071721455077	1.98136645962733	14.7779448998947
GSE108097_Brain_1	binomial	HIPPIE	1e+05	667	329.72	330	15.8312311204113	2.02121212121212	21.3047233935675
GSE108097_Brain_1	binomial	Reactome	20000	195	104.43	103	7.75802614696352	1.89320388349515	11.6743612723513
GSE108097_Brain_1	binomial	Reactome	50000	480	242.71	242.5	12.7345033573193	1.97938144329897	18.6336281315294
GSE108097_Brain_1	binomial	Reactome	1e+05	912	432.72	432	19.5138283007076	2.11111111111111	24.5610442304969
GSE108097_Brain_1	binomial	STRING	20000	76	33.02	33	5.00096960295671	2.3030303030303	8.59433338178842
GSE108097_Brain_1	binomial	STRING	50000	178	68.42	69	7.69517755323148	2.57971014492754	14.240087280895
GSE108097_Brain_1	binomial	STRING	1e+05	353	121.61	121.5	10.275886257829	2.90534979423868	22.517765786256
GSE108097_Brain_1	binomial	OmniPath	20000	75	13.72	14	3.59876522033754	5.35714285714286	17.0280627515491
GSE108097_Brain_1	binomial	OmniPath	50000	199	34.58	35.5	5.92065379955131	5.6056338028169	27.7705816902282
GSE108097_Brain_1	binomial	OmniPath	1e+05	377	61.9	62	7.56053015083044	6.08064516129032	41.676971550122
