dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_1	kendall	HIPPIE	20000	120	91.26	91.5	7.94122347645691	1.31147540983607	3.6190896887872
GSE108097_Brain_1	kendall	HIPPIE	50000	331	213.05	213	12.9563174403903	1.55399061032864	9.10366703676928
GSE108097_Brain_1	kendall	HIPPIE	1e+05	693	374.65	373	17.2821943752592	1.85790884718499	18.4206931763099
GSE108097_Brain_1	kendall	Reactome	20000	151	98.07	97	9.70187423317596	1.55670103092784	5.45564689129897
GSE108097_Brain_1	kendall	Reactome	50000	417	246.07	246	14.9957940231199	1.69512195121951	11.398529463426
GSE108097_Brain_1	kendall	Reactome	1e+05	921	451.11	451	19.7851566645914	2.04212860310421	23.749622404605
GSE108097_Brain_1	kendall	STRING	20000	106	50.18	50	7.12851720736912	2.12	7.83052048219733
GSE108097_Brain_1	kendall	STRING	50000	201	100.44	100	10.2211110507181	2.01	9.83846076038233
GSE108097_Brain_1	kendall	STRING	1e+05	407	158.38	157.5	12.2489166703003	2.58412698412698	20.2973051978405
GSE108097_Brain_1	kendall	OmniPath	20000	17	12.82	12.5	3.44767525246573	1.36	1.21241117388029
GSE108097_Brain_1	kendall	OmniPath	50000	114	35.49	36	5.30959680030586	3.16666666666667	14.7864335000875
GSE108097_Brain_1	kendall	OmniPath	1e+05	373	64.43	64	7.08997727625257	5.828125	43.5220012669908
