dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_1	spearman	HIPPIE	20000	125	93.89	95.5	7.95936015904634	1.30890052356021	3.90860563893964
GSE108097_Brain_1	spearman	HIPPIE	50000	323	215.91	216	13.1357289001172	1.49537037037037	8.15257385519312
GSE108097_Brain_1	spearman	HIPPIE	1e+05	692	376.13	374.5	18.2837649461499	1.84779706275033	17.2759823225858
GSE108097_Brain_1	spearman	Reactome	20000	153	98.43	98	9.98307152993091	1.56122448979592	5.46625353092884
GSE108097_Brain_1	spearman	Reactome	50000	403	241.41	242.5	15.0293282308527	1.66185567010309	10.7516448851175
GSE108097_Brain_1	spearman	Reactome	1e+05	939	452.2	453	19.3505670316	2.07284768211921	25.1568855426842
GSE108097_Brain_1	spearman	STRING	20000	109	47.77	48	7.31520486536243	2.27083333333333	8.37023721508124
GSE108097_Brain_1	spearman	STRING	50000	202	101.99	102	10.5174170120834	1.98039215686275	9.50898874553509
GSE108097_Brain_1	spearman	STRING	1e+05	419	159.03	158.5	12.2824133120359	2.64353312302839	21.1660358103442
GSE108097_Brain_1	spearman	OmniPath	20000	16	12.99	12	3.50323083205008	1.33333333333333	0.859206870544286
GSE108097_Brain_1	spearman	OmniPath	50000	105	34.96	35.5	5.26839250587497	2.95774647887324	13.29437772943
GSE108097_Brain_1	spearman	OmniPath	1e+05	376	64.75	65	7.14690722118895	5.78461538461538	43.5503064986229
