dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_1	weighted_rank	HIPPIE	20000	124	90.35	90.5	8.01308903978958	1.37016574585635	4.19937926970591
GSE108097_Brain_1	weighted_rank	HIPPIE	50000	334	211.28	211	13.0956697292107	1.58293838862559	9.37103657449954
GSE108097_Brain_1	weighted_rank	HIPPIE	1e+05	691	374.05	375	17.1613701743954	1.84266666666667	18.4688050417377
GSE108097_Brain_1	weighted_rank	Reactome	20000	152	100.23	100	9.94921955215431	1.52	5.20342321612454
GSE108097_Brain_1	weighted_rank	Reactome	50000	442	248.02	249	14.2304127299473	1.77510040160643	13.6313685120163
GSE108097_Brain_1	weighted_rank	Reactome	1e+05	914	450.25	450	19.4294242130982	2.03111111111111	23.8684376291176
GSE108097_Brain_1	weighted_rank	STRING	20000	104	50.29	50	7.27704985179122	2.08	7.38073822412794
GSE108097_Brain_1	weighted_rank	STRING	50000	201	98.08	98	9.73972392946649	2.05102040816327	10.567034624937
GSE108097_Brain_1	weighted_rank	STRING	1e+05	401	156.03	157	11.904888224438	2.55414012738854	20.5772616577056
GSE108097_Brain_1	weighted_rank	OmniPath	20000	17	12.79	13	3.43274487454826	1.30769230769231	1.22642379607486
GSE108097_Brain_1	weighted_rank	OmniPath	50000	134	36.34	36.5	5.51805118578007	3.67123287671233	17.6982772924739
GSE108097_Brain_1	weighted_rank	OmniPath	1e+05	373	65.09	66	7.42653582388413	5.65151515151515	41.4607843147737
