dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_1	zi_kendall	HIPPIE	20000	155	90.39	90	8.03640077234438	1.72222222222222	8.03966873109938
GSE108097_Brain_1	zi_kendall	HIPPIE	50000	409	195.47	196.5	12.6805784847171	2.08142493638677	16.8391371306404
GSE108097_Brain_1	zi_kendall	HIPPIE	1e+05	725	347.27	349.5	16.9442669306814	2.07439198855508	22.2924958362191
GSE108097_Brain_1	zi_kendall	Reactome	20000	194	102.45	103	9.17217465374422	1.88349514563107	9.98127526525325
GSE108097_Brain_1	zi_kendall	Reactome	50000	533	233.36	235	13.9787139767736	2.26808510638298	21.4354482463744
GSE108097_Brain_1	zi_kendall	Reactome	1e+05	952	431.93	437	19.2460175599835	2.17848970251716	27.0222137322235
GSE108097_Brain_1	zi_kendall	STRING	20000	135	50.71	50.5	6.82877897008112	2.67326732673267	12.343348696641
GSE108097_Brain_1	zi_kendall	STRING	50000	252	92.44	92	9.16550405850462	2.73913043478261	17.4087534064147
GSE108097_Brain_1	zi_kendall	STRING	1e+05	416	139.97	140	10.7988542227985	2.97142857142857	25.5610451169206
GSE108097_Brain_1	zi_kendall	OmniPath	20000	50	14.51	14	4.11573722792077	3.57142857142857	8.62299948578817
GSE108097_Brain_1	zi_kendall	OmniPath	50000	249	38.94	39	5.98452549953173	6.38461538461539	35.1005271873997
GSE108097_Brain_1	zi_kendall	OmniPath	1e+05	416	64.52	64	7.7257015633834	6.5	45.4948974039935
