dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_2	rho_p	HIPPIE	20000	188	84.87	84	8.5359075189295	2.23809523809524	12.0819022196873
GSE108097_Brain_2	rho_p	HIPPIE	50000	478	206.21	204.5	12.8198827584106	2.33740831295844	21.2006619032213
GSE108097_Brain_2	rho_p	HIPPIE	1e+05	779	372.7	375	16.0815472394966	2.07733333333333	25.2649819043604
GSE108097_Brain_2	rho_p	Reactome	20000	302	120.79	121.5	8.88909785107919	2.48559670781893	20.3856457692161
GSE108097_Brain_2	rho_p	Reactome	50000	936	380.08	378	15.4348942204331	2.47619047619048	36.0170916664954
GSE108097_Brain_2	rho_p	Reactome	1e+05	1642	760.39	762	23.7766947265849	2.15485564304462	37.0787449701435
GSE108097_Brain_2	rho_p	STRING	20000	145	30.81	30.5	5.11621506249069	4.75409836065574	22.3192337705229
GSE108097_Brain_2	rho_p	STRING	50000	359	106.86	107	9.50812518030997	3.35514018691589	26.5183719417312
GSE108097_Brain_2	rho_p	STRING	1e+05	551	220.67	220.5	13.092564780258	2.49886621315193	25.230350626036
GSE108097_Brain_2	rho_p	OmniPath	20000	131	16.92	17	4.83397069987735	7.70588235294118	23.59964656031
GSE108097_Brain_2	rho_p	OmniPath	50000	325	43.89	44.5	6.4680957496208	7.30337078651685	43.4610140111919
GSE108097_Brain_2	rho_p	OmniPath	1e+05	463	79.92	80	8.71279101509541	5.7875	43.9675414383625
