dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_3	hamming	HIPPIE	20000	124	57.86	57.5	7.09818585444495	2.15652173913043	9.31787379990656
GSE108097_Brain_3	hamming	HIPPIE	50000	296	161.23	162.5	12.6250152515159	1.82153846153846	10.6748385895073
GSE108097_Brain_3	hamming	HIPPIE	1e+05	582	322.37	323	17.5445493564586	1.80185758513932	14.7983282286144
GSE108097_Brain_3	hamming	Reactome	20000	178	65.66	66	7.41990225642828	2.6969696969697	15.1403611688649
GSE108097_Brain_3	hamming	Reactome	50000	446	168.94	169	12.0124682700681	2.63905325443787	23.0643689349307
GSE108097_Brain_3	hamming	Reactome	1e+05	814	321.42	321.5	15.0468493967234	2.53188180404355	32.73642122764
GSE108097_Brain_3	hamming	STRING	20000	71	21.94	22	4.63587242396867	3.22727272727273	10.5826898398556
GSE108097_Brain_3	hamming	STRING	50000	168	58.96	58	7.28207984498157	2.89655172413793	14.9737440842735
GSE108097_Brain_3	hamming	STRING	1e+05	323	119.23	118	11.150807372137	2.73728813559322	18.2740131005373
GSE108097_Brain_3	hamming	OmniPath	20000	65	11.42	11	3.21039976742254	5.90909090909091	16.6895103045116
GSE108097_Brain_3	hamming	OmniPath	50000	156	28.16	27.5	5.51347293802952	5.67272727272727	23.1868373050706
GSE108097_Brain_3	hamming	OmniPath	1e+05	288	49.52	49	7.02589726107864	5.87755102040816	33.942995625784
