dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_6	bicor	HIPPIE	20000	162	100	100.5	9.31491689537146	1.61194029850746	6.65599067564494
GSE108097_Brain_6	bicor	HIPPIE	50000	389	243.61	244	13.8461204134967	1.59426229508197	10.5004142429874
GSE108097_Brain_6	bicor	HIPPIE	1e+05	746	467.17	468.5	18.7401448847929	1.5923159018143	14.8787536976975
GSE108097_Brain_6	bicor	Reactome	20000	231	104.07	104	10.0947581156827	2.22115384615385	12.573852542619
GSE108097_Brain_6	bicor	Reactome	50000	541	252.93	251.5	13.542492049438	2.15109343936382	21.2715650080042
GSE108097_Brain_6	bicor	Reactome	1e+05	1021	500.45	500	16.7098682511173	2.042	31.1522504053971
GSE108097_Brain_6	bicor	STRING	20000	107	26.81	27	5.12804725864229	3.96296296296296	15.6375313945978
GSE108097_Brain_6	bicor	STRING	50000	218	63.65	62.5	8.18519851607001	3.488	18.8572091070197
GSE108097_Brain_6	bicor	STRING	1e+05	396	130.65	130.5	11.9353265645319	3.03448275862069	22.2323200429671
GSE108097_Brain_6	bicor	OmniPath	20000	75	19.04	18.5	4.73311992690067	4.05405405405405	11.8230682645397
GSE108097_Brain_6	bicor	OmniPath	50000	148	42.97	43	7.13712020695216	3.44186046511628	14.716019480475
GSE108097_Brain_6	bicor	OmniPath	1e+05	255	74.37	74	9.1216857825268	3.44594594594595	19.8022607121601
