dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE108097_Brain_6	phi_s	HIPPIE	20000	118	67.81	69	8.59726876996586	1.71014492753623	5.83790054061545
GSE108097_Brain_6	phi_s	HIPPIE	50000	290	175.53	177	13.0550156776403	1.63841807909605	8.76827748250475
GSE108097_Brain_6	phi_s	HIPPIE	1e+05	571	362.37	362	17.8527393704805	1.57734806629834	11.6861617520149
GSE108097_Brain_6	phi_s	Reactome	20000	172	90.81	91	7.54741911871438	1.89010989010989	10.7573196509895
GSE108097_Brain_6	phi_s	Reactome	50000	434	230.89	231	12.3524789970976	1.87878787878788	16.4428532967126
GSE108097_Brain_6	phi_s	Reactome	1e+05	885	464.27	461	19.9675772544929	1.91973969631236	21.0706584297968
GSE108097_Brain_6	phi_s	STRING	20000	53	20.61	20	5.04704133751907	2.65	6.41762130205212
GSE108097_Brain_6	phi_s	STRING	50000	136	52.57	52	7.16085740591717	2.61538461538462	11.6508394554903
GSE108097_Brain_6	phi_s	STRING	1e+05	277	106.37	105	10.1729041968348	2.63809523809524	16.7729879981657
GSE108097_Brain_6	phi_s	OmniPath	20000	35	10.53	11	3.01328707392757	3.18181818181818	8.12069988675369
GSE108097_Brain_6	phi_s	OmniPath	50000	87	27.73	28	5.82203234326817	3.10714285714286	10.1802938399221
GSE108097_Brain_6	phi_s	OmniPath	1e+05	175	54.73	55	8.24113236310779	3.18181818181818	14.5938682575225
