dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE59739	spearman	HIPPIE	20000	57	21.17	21	5.13662822237988	2.71428571428571	6.97539289370633
GSE59739	spearman	HIPPIE	50000	124	54.38	55.5	7.40431214792018	2.23423423423423	9.40262898283614
GSE59739	spearman	HIPPIE	1e+05	209	114.03	115	10.3146997194795	1.81739130434783	9.20724815872705
GSE59739	spearman	Reactome	20000	229	63.12	63	7.40499421971006	3.63492063492063	22.4010978372506
GSE59739	spearman	Reactome	50000	405	128.48	129	10.8994300657225	3.13953488372093	25.3701338815526
GSE59739	spearman	Reactome	1e+05	650	241.18	242	12.6478169154709	2.68595041322314	32.3233647934868
GSE59739	spearman	STRING	20000	90	17.46	17.5	3.92201762135539	5.14285714285714	18.4955823770448
GSE59739	spearman	STRING	50000	162	40.99	41	5.82314261365716	3.95121951219512	20.7808752126716
GSE59739	spearman	STRING	1e+05	245	76.55	76	7.93963971398443	3.22368421052632	21.2163279529299
GSE59739	spearman	OmniPath	20000	48	6.22	6	2.52494624405224	8	16.5468869281542
GSE59739	spearman	OmniPath	50000	71	15.09	15	3.95963216330594	4.73333333333333	14.119998447866
GSE59739	spearman	OmniPath	1e+05	102	27.6	27	5.32575218759157	3.77777777777778	13.9698576612979
