dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60297	zi_kendall	HIPPIE	20000	594	354.84	353.5	18.3664824277181	1.68033946251768	13.0215462291826
GSE60297	zi_kendall	HIPPIE	50000	879	741.34	741	27.9303679629441	1.18623481781377	4.92868551472851
GSE60297	zi_kendall	HIPPIE	1e+05	1270	1280.63	1280.5	37.4453554725369	0.991800078094494	-0.283880333511491
GSE60297	zi_kendall	Reactome	20000	1742	331.77	332.5	16.8887357116924	5.2390977443609	83.5012178575138
GSE60297	zi_kendall	Reactome	50000	2700	768.75	767.5	23.3222376215656	3.51791530944625	82.8072345088456
GSE60297	zi_kendall	Reactome	1e+05	4015	1421.06	1421	32.7959162276665	2.82547501759324	79.0933841272518
GSE60297	zi_kendall	STRING	20000	420	140.08	139	11.1949483557035	3.02158273381295	25.0041349996392
GSE60297	zi_kendall	STRING	50000	603	268.86	270	17.5591468005606	2.23333333333333	19.0293983981803
GSE60297	zi_kendall	STRING	1e+05	824	439.91	437.5	19.2915405127101	1.88342857142857	19.9097630252465
GSE60297	zi_kendall	OmniPath	20000	429	82.81	83.5	8.79473556949689	5.1377245508982	39.3633210759291
GSE60297	zi_kendall	OmniPath	50000	519	139.39	139	12.0284973074257	3.73381294964029	31.5592205990395
GSE60297	zi_kendall	OmniPath	1e+05	595	210.81	210	12.9198735022109	2.83333333333333	29.7363592557045
