dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Astro2	MI	HIPPIE	20000	96	66.9	67	8.11221799559657	1.43283582089552	3.58718170736979
GSE60631_l2_Astro2	MI	HIPPIE	50000	218	161.68	162	12.0444295351952	1.34567901234568	4.67602054837271
GSE60631_l2_Astro2	MI	HIPPIE	1e+05	395	321.46	324.5	17.5984503450007	1.21725731895223	4.17877702629033
GSE60631_l2_Astro2	MI	Reactome	20000	150	59.74	59.5	6.37010061287746	2.52100840336134	14.1693209393797
GSE60631_l2_Astro2	MI	Reactome	50000	335	156.34	154.5	11.2044543811735	2.16828478964401	15.9454440102141
GSE60631_l2_Astro2	MI	Reactome	1e+05	622	328.77	329	16.8222165512447	1.89057750759878	17.4311155195719
GSE60631_l2_Astro2	MI	STRING	20000	100	31.71	31.5	5.14495928658391	3.17460317460317	13.2731856942142
GSE60631_l2_Astro2	MI	STRING	50000	186	70.2	70	7.870158444364	2.65714285714286	14.7138079644289
GSE60631_l2_Astro2	MI	STRING	1e+05	302	130.56	130	10.6375739620451	2.32307692307692	16.1164566856784
GSE60631_l2_Astro2	MI	OmniPath	20000	48	20.09	19	4.1221133150143	2.52631578947368	6.77079882747066
GSE60631_l2_Astro2	MI	OmniPath	50000	86	40.47	40	5.35498446177564	2.15	8.5023589377331
GSE60631_l2_Astro2	MI	OmniPath	1e+05	139	68.67	68	7.05541557166471	2.04411764705882	9.96822926808913
