dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Astro2	kendall	HIPPIE	20000	92	52.17	51	7.51168113908954	1.80392156862745	5.3024082442386
GSE60631_l2_Astro2	kendall	HIPPIE	50000	192	146.64	147	11.0650236093172	1.30612244897959	4.09940381526208
GSE60631_l2_Astro2	kendall	HIPPIE	1e+05	365	304.3	303	17.3242983445597	1.2046204620462	3.50374940403064
GSE60631_l2_Astro2	kendall	Reactome	20000	130	52.82	52	7.10012092655591	2.5	10.8702373943141
GSE60631_l2_Astro2	kendall	Reactome	50000	332	160.52	161	13.0658626839856	2.06211180124224	13.1242769151537
GSE60631_l2_Astro2	kendall	Reactome	1e+05	688	339.65	341	16.929667343561	2.01759530791789	20.5763050703114
GSE60631_l2_Astro2	kendall	STRING	20000	79	23.43	23	4.85393727511049	3.43478260869565	11.4484380103027
GSE60631_l2_Astro2	kendall	STRING	50000	168	60.22	59.5	6.9595947867645	2.82352941176471	15.4865338144359
GSE60631_l2_Astro2	kendall	STRING	1e+05	301	123.89	122	11.4043186928674	2.4672131147541	15.5300816094143
GSE60631_l2_Astro2	kendall	OmniPath	20000	36	15.67	15.5	3.92879810444041	2.32258064516129	5.17461051944171
GSE60631_l2_Astro2	kendall	OmniPath	50000	60	35.7	36	5.53136145952871	1.66666666666667	4.39313181353193
GSE60631_l2_Astro2	kendall	OmniPath	1e+05	117	62.93	63	6.75585043880599	1.85714285714286	8.00343354101192
