dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_CA1Pyr1	bicor	HIPPIE	20000	194	124.08	126	10.2638721108104	1.53968253968254	6.81224388273088
GSE60631_l2_CA1Pyr1	bicor	HIPPIE	50000	411	272.82	275	15.3006106697964	1.49454545454545	9.03101209370481
GSE60631_l2_CA1Pyr1	bicor	HIPPIE	1e+05	687	507.49	507	20.9325492036115	1.35502958579882	8.57563970130447
GSE60631_l2_CA1Pyr1	bicor	Reactome	20000	314	125.23	124	9.78130044441118	2.53225806451613	19.2990697988281
GSE60631_l2_CA1Pyr1	bicor	Reactome	50000	735	292.2	291	17.2661869595233	2.52577319587629	25.6455001349195
GSE60631_l2_CA1Pyr1	bicor	Reactome	1e+05	1271	548.99	547.5	21.2928095227881	2.32146118721461	33.9086300108628
GSE60631_l2_CA1Pyr1	bicor	STRING	20000	242	78.81	78	8.65581488440755	3.1025641025641	18.8532220454446
GSE60631_l2_CA1Pyr1	bicor	STRING	50000	477	148.08	149	10.1181704738245	3.20134228187919	32.5078531589193
GSE60631_l2_CA1Pyr1	bicor	STRING	1e+05	713	241.07	243.5	14.175847292654	2.92813141683778	33.2911317579271
GSE60631_l2_CA1Pyr1	bicor	OmniPath	20000	66	27.14	27	4.83050073737054	2.44444444444444	8.04471463990568
GSE60631_l2_CA1Pyr1	bicor	OmniPath	50000	139	56.67	56.5	6.40715351475335	2.46017699115044	12.8496999190708
GSE60631_l2_CA1Pyr1	bicor	OmniPath	1e+05	215	102.13	102	8.10369039264198	2.1078431372549	13.9282221470954
