dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_CA1Pyr1	zi_kendall	HIPPIE	20000	201	110.54	111	11.1150275925811	1.81081081081081	8.1385313033662
GSE60631_l2_CA1Pyr1	zi_kendall	HIPPIE	50000	432	261.59	262	15.7532071450081	1.64885496183206	10.8174797951539
GSE60631_l2_CA1Pyr1	zi_kendall	HIPPIE	1e+05	732	500.57	501	20.8526601263108	1.46107784431138	11.0983442207449
GSE60631_l2_CA1Pyr1	zi_kendall	Reactome	20000	331	118.79	118	10.4729521756154	2.80508474576271	20.2626724959269
GSE60631_l2_CA1Pyr1	zi_kendall	Reactome	50000	727	290.82	289	16.4724318211067	2.51557093425606	26.4793932515238
GSE60631_l2_CA1Pyr1	zi_kendall	Reactome	1e+05	1262	561.61	560.5	21.5954049545619	2.25156110615522	32.4323624156929
GSE60631_l2_CA1Pyr1	zi_kendall	STRING	20000	216	54.19	54	5.76596597599775	4	28.0629474182772
GSE60631_l2_CA1Pyr1	zi_kendall	STRING	50000	390	106.73	107	7.51141219287779	3.64485981308411	37.7119498605858
GSE60631_l2_CA1Pyr1	zi_kendall	STRING	1e+05	577	180.95	180.5	12.0036820950233	3.19667590027701	32.9940427332877
GSE60631_l2_CA1Pyr1	zi_kendall	OmniPath	20000	95	24.16	24	4.88187743319384	3.95833333333333	14.5108108446825
GSE60631_l2_CA1Pyr1	zi_kendall	OmniPath	50000	190	53.69	54	6.96991369887009	3.51851851851852	19.5569135988151
GSE60631_l2_CA1Pyr1	zi_kendall	OmniPath	1e+05	289	96.72	98	8.18606848076152	2.94897959183673	23.4886869627205
