dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_CA1Pyr2	weighted_rank	HIPPIE	20000	190	113.59	113.5	10.5869130190404	1.67400881057269	7.2174013201561
GSE60631_l2_CA1Pyr2	weighted_rank	HIPPIE	50000	408	257.06	255	16.160695554588	1.6	9.33994452714928
GSE60631_l2_CA1Pyr2	weighted_rank	HIPPIE	1e+05	716	492.21	495	21.1642422854009	1.44646464646465	10.5739670233491
GSE60631_l2_CA1Pyr2	weighted_rank	Reactome	20000	364	127.92	127	9.61761851284328	2.86614173228346	24.5466171989189
GSE60631_l2_CA1Pyr2	weighted_rank	Reactome	50000	768	321.97	324	16.357406502094	2.37037037037037	27.2677701041972
GSE60631_l2_CA1Pyr2	weighted_rank	Reactome	1e+05	1357	645.79	647	23.7645415344676	2.09737248840804	29.9273604318634
GSE60631_l2_CA1Pyr2	weighted_rank	STRING	20000	264	83.28	82	8.15640047366905	3.21951219512195	22.1568326105873
GSE60631_l2_CA1Pyr2	weighted_rank	STRING	50000	446	158.07	158	11.8127264020845	2.82278481012658	24.3745592845687
GSE60631_l2_CA1Pyr2	weighted_rank	STRING	1e+05	661	252.51	253.5	14.6972786596703	2.60749506903353	27.7935806661206
GSE60631_l2_CA1Pyr2	weighted_rank	OmniPath	20000	84	17.73	17	4.04982852860601	4.94117647058824	16.363655777498
GSE60631_l2_CA1Pyr2	weighted_rank	OmniPath	50000	141	40.69	41	5.52257991240406	3.4390243902439	18.163612223102
GSE60631_l2_CA1Pyr2	weighted_rank	OmniPath	1e+05	230	76.6	76.5	7.61444666274562	3.00653594771242	20.145915625166
