dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_CA2Pyr2	MI	HIPPIE	20000	52	35.04	35	5.8550159795864	1.48571428571429	2.89666160760812
GSE60631_l2_CA2Pyr2	MI	HIPPIE	50000	107	95.91	96	9.42497756072671	1.11458333333333	1.17666062635643
GSE60631_l2_CA2Pyr2	MI	HIPPIE	1e+05	239	195.84	194.5	14.266383457965	1.22879177377892	3.02529370019867
GSE60631_l2_CA2Pyr2	MI	Reactome	20000	85	43.05	43.5	5.97701827626012	1.95402298850575	7.01854972848578
GSE60631_l2_CA2Pyr2	MI	Reactome	50000	212	116.05	114.5	10.8193382795844	1.85152838427948	8.86837970313333
GSE60631_l2_CA2Pyr2	MI	Reactome	1e+05	416	244.17	243	14.9632917838991	1.7119341563786	11.4834357627707
GSE60631_l2_CA2Pyr2	MI	STRING	20000	31	15.84	15.5	3.77048613000574	2	4.02070170192535
GSE60631_l2_CA2Pyr2	MI	STRING	50000	72	41.2	41	5.89127072091164	1.75609756097561	5.22807412171239
GSE60631_l2_CA2Pyr2	MI	STRING	1e+05	138	83.43	83	9.16322800517086	1.66265060240964	5.95532491052344
GSE60631_l2_CA2Pyr2	MI	OmniPath	20000	12	6.28	6	2.13238615336686	2	2.68244097860446
GSE60631_l2_CA2Pyr2	MI	OmniPath	50000	34	20.1	19	4.68718433280546	1.78947368421053	2.96553303925223
GSE60631_l2_CA2Pyr2	MI	OmniPath	1e+05	53	39.15	38	6.50155381583526	1.39473684210526	2.13025999512098
