dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo1	MI	HIPPIE	20000	59	63.71	64	7.8525489653058	0.921875	-0.599805237867317
GSE60631_l2_Oligo1	MI	HIPPIE	50000	138	157.24	157	12.7952958527576	0.878980891719745	-1.50367761882219
GSE60631_l2_Oligo1	MI	HIPPIE	1e+05	292	307.31	304.5	18.1178493383311	0.958949096880131	-0.845023033037886
GSE60631_l2_Oligo1	MI	Reactome	20000	91	60.5	61	7.44745906095807	1.49180327868852	4.09535651694826
GSE60631_l2_Oligo1	MI	Reactome	50000	258	162.96	161	11.7670314991943	1.60248447204969	8.07680339824939
GSE60631_l2_Oligo1	MI	Reactome	1e+05	527	331.53	332.5	17.0272835131851	1.58496240601504	11.4798112011607
GSE60631_l2_Oligo1	MI	STRING	20000	45	20.78	21	4.28664828687327	2.14285714285714	5.65010198624584
GSE60631_l2_Oligo1	MI	STRING	50000	104	53.1	53	6.37149586800145	1.9622641509434	7.98870485903113
GSE60631_l2_Oligo1	MI	STRING	1e+05	199	111.42	112	8.90372751359584	1.77678571428571	9.83632976933164
GSE60631_l2_Oligo1	MI	OmniPath	20000	23	18.39	19	3.64011044343493	1.21052631578947	1.26644509050936
GSE60631_l2_Oligo1	MI	OmniPath	50000	38	40.86	41	5.50852415659933	0.926829268292683	-0.519195326859674
GSE60631_l2_Oligo1	MI	OmniPath	1e+05	83	76.07	75	8.69488994243809	1.10666666666667	0.797019864067054
