dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo1	phi_s	HIPPIE	20000	19	23.98	24	4.27343213614329	0.791666666666667	-1.16533967109967
GSE60631_l2_Oligo1	phi_s	HIPPIE	50000	64	61.49	61	6.74723287838441	1.04918032786885	0.372004352783064
GSE60631_l2_Oligo1	phi_s	HIPPIE	1e+05	142	131.97	134	11.0977793756547	1.05970149253731	0.903784411321322
GSE60631_l2_Oligo1	phi_s	Reactome	20000	80	34.07	34	5.93951839696442	2.35294117647059	7.73295020408961
GSE60631_l2_Oligo1	phi_s	Reactome	50000	174	86.66	85.5	8.68903872355245	2.03508771929825	10.0517448222732
GSE60631_l2_Oligo1	phi_s	Reactome	1e+05	368	182.88	183.5	13.6849692669872	2.00544959128065	13.5272499622321
GSE60631_l2_Oligo1	phi_s	STRING	20000	23	8.94	9	2.97402899865628	2.55555555555556	4.72759344523962
GSE60631_l2_Oligo1	phi_s	STRING	50000	62	24.28	25	4.42006444488875	2.48	8.53381222611323
GSE60631_l2_Oligo1	phi_s	STRING	1e+05	128	53.45	53	6.42182987861707	2.41509433962264	11.6088406901327
GSE60631_l2_Oligo1	phi_s	OmniPath	20000	6	3.18	3	1.94562446156871	2	1.44940611906488
GSE60631_l2_Oligo1	phi_s	OmniPath	50000	19	9.42	9	3.27888870062878	2.11111111111111	2.92172161810886
GSE60631_l2_Oligo1	phi_s	OmniPath	1e+05	45	21.45	21	4.54022426358394	2.14285714285714	5.18696844754761
