dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo1	weighted_rank	HIPPIE	20000	114	87.29	87	8.18756756468382	1.31034482758621	3.26226315556902
GSE60631_l2_Oligo1	weighted_rank	HIPPIE	50000	252	200.74	201	12.9643021915231	1.25373134328358	3.95393436860157
GSE60631_l2_Oligo1	weighted_rank	HIPPIE	1e+05	440	369.47	368	17.7066186335603	1.19565217391304	3.98325628735917
GSE60631_l2_Oligo1	weighted_rank	Reactome	20000	268	107	106.5	9.03416634870986	2.51643192488263	17.8212348307038
GSE60631_l2_Oligo1	weighted_rank	Reactome	50000	559	254.2	255.5	13.3303026858721	2.18786692759295	22.8651972263943
GSE60631_l2_Oligo1	weighted_rank	Reactome	1e+05	909	471.41	472	19.3171797719914	1.92584745762712	22.6528926667896
GSE60631_l2_Oligo1	weighted_rank	STRING	20000	149	50.15	50	6.12228088479475	2.98	16.1459432946801
GSE60631_l2_Oligo1	weighted_rank	STRING	50000	249	106.64	107	7.6270650457513	2.32710280373832	18.665108943748
GSE60631_l2_Oligo1	weighted_rank	STRING	1e+05	354	174.19	174	9.35678331155499	2.03448275862069	19.2170742885482
GSE60631_l2_Oligo1	weighted_rank	OmniPath	20000	41	16.57	16.5	3.41788226712378	2.48484848484848	7.14770085411934
GSE60631_l2_Oligo1	weighted_rank	OmniPath	50000	83	35.63	35	5.89924665623596	2.37142857142857	8.02983885237724
GSE60631_l2_Oligo1	weighted_rank	OmniPath	1e+05	127	63.24	62.5	7.91127567641798	2.032	8.05938291217136
