dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo2	euclidean	HIPPIE	20000	27	28.81	28.5	5.29092037209391	0.947368421052632	-0.342095490521185
GSE60631_l2_Oligo2	euclidean	HIPPIE	50000	70	71.39	71	8.07276879141203	0.985915492957746	-0.172183799129576
GSE60631_l2_Oligo2	euclidean	HIPPIE	1e+05	133	147.93	148	10.9961012374497	0.898648648648649	-1.35775396002654
GSE60631_l2_Oligo2	euclidean	Reactome	20000	38	22.95	22.5	4.65230474001214	1.68888888888889	3.23495575656567
GSE60631_l2_Oligo2	euclidean	Reactome	50000	125	63.77	63.5	8.05518215783849	1.96850393700787	7.60131785976027
GSE60631_l2_Oligo2	euclidean	Reactome	1e+05	263	141.67	141	10.9775298503881	1.86524822695035	11.0525775519263
GSE60631_l2_Oligo2	euclidean	STRING	20000	16	14.16	14	3.67552648602822	1.14285714285714	0.500608554174318
GSE60631_l2_Oligo2	euclidean	STRING	50000	53	34.8	35	5.33522693656479	1.51428571428571	3.41128881983763
GSE60631_l2_Oligo2	euclidean	STRING	1e+05	106	66.68	66.5	8.42300841190787	1.59398496240601	4.66816582355683
GSE60631_l2_Oligo2	euclidean	OmniPath	20000	9	4.86	4.5	2.33990416794182	2	1.769303229047
GSE60631_l2_Oligo2	euclidean	OmniPath	50000	18	12.45	12	3.41823688973474	1.5	1.62364405365442
GSE60631_l2_Oligo2	euclidean	OmniPath	1e+05	28	24.75	24.5	4.7276854909152	1.14285714285714	0.687439975913215
