dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo4	rho_p	HIPPIE	20000	38	24.5	24	4.89382212074519	1.58333333333333	2.75858003558665
GSE60631_l2_Oligo4	rho_p	HIPPIE	50000	84	64.04	64.5	7.57710533465949	1.30232558139535	2.63425135568569
GSE60631_l2_Oligo4	rho_p	HIPPIE	1e+05	197	135.75	135	10.1855264711722	1.45925925925926	6.0134348649875
GSE60631_l2_Oligo4	rho_p	Reactome	20000	60	26.85	27	5.63067895147161	2.22222222222222	5.88738947571075
GSE60631_l2_Oligo4	rho_p	Reactome	50000	157	76.91	76.5	8.48777492823197	2.05228758169935	9.43592409991991
GSE60631_l2_Oligo4	rho_p	Reactome	1e+05	355	169.27	168	11.4317076324554	2.11309523809524	16.2469165562544
GSE60631_l2_Oligo4	rho_p	STRING	20000	49	21.95	21	4.41387847956004	2.33333333333333	6.12839708326004
GSE60631_l2_Oligo4	rho_p	STRING	50000	92	48.99	49	7.07605865299363	1.87755102040816	6.07824243822569
GSE60631_l2_Oligo4	rho_p	STRING	1e+05	178	93.1	93	10.3333333333333	1.91397849462366	8.21612903225807
GSE60631_l2_Oligo4	rho_p	OmniPath	20000	13	6.42	6	2.28822192891328	2.16666666666667	2.87559520204624
GSE60631_l2_Oligo4	rho_p	OmniPath	50000	30	15.46	16	3.52887082406388	1.875	4.12029817040897
GSE60631_l2_Oligo4	rho_p	OmniPath	1e+05	64	30.92	32	5.24679796532027	2	6.30479774876957
