dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo6	binomial	HIPPIE	20000	63	25.79	26	5.10554264075482	2.42307692307692	7.28815771764836
GSE60631_l2_Oligo6	binomial	HIPPIE	50000	138	83.57	84.5	9.52853767915257	1.63313609467456	5.71231408562166
GSE60631_l2_Oligo6	binomial	HIPPIE	1e+05	240	196.46	196.5	12.9118378070496	1.22137404580153	3.37209935956816
GSE60631_l2_Oligo6	binomial	Reactome	20000	122	49.74	50	6.3399009009876	2.44	11.3976544946852
GSE60631_l2_Oligo6	binomial	Reactome	50000	262	135.07	135	10.2240111522046	1.94074074074074	12.414892561285
GSE60631_l2_Oligo6	binomial	Reactome	1e+05	482	264.87	266	14.3861991948091	1.81203007518797	15.0929371309098
GSE60631_l2_Oligo6	binomial	STRING	20000	107	26.36	26	4.86072696894885	4.11538461538461	16.5901110091437
GSE60631_l2_Oligo6	binomial	STRING	50000	185	65.1	64	7.97534078306756	2.890625	15.0338403412879
GSE60631_l2_Oligo6	binomial	STRING	1e+05	287	117.12	117	10.1327352295579	2.45299145299145	16.7654632388349
GSE60631_l2_Oligo6	binomial	OmniPath	20000	23	11.3	11	3.28910045729555	2.09090909090909	3.5572036038146
GSE60631_l2_Oligo6	binomial	OmniPath	50000	48	29.99	30	4.83776181657793	1.6	3.72279592977971
GSE60631_l2_Oligo6	binomial	OmniPath	1e+05	74	56.06	56.5	6.0483239184275	1.30973451327434	2.96611098247268
