dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo6	canberra	HIPPIE	20000	145	74.81	75	7.73251693705343	1.93333333333333	9.0772513751191
GSE60631_l2_Oligo6	canberra	HIPPIE	50000	331	175.58	177	11.3708647717122	1.87005649717514	13.6682656174617
GSE60631_l2_Oligo6	canberra	HIPPIE	1e+05	583	354.69	355	16.691917235899	1.64225352112676	13.6778775483609
GSE60631_l2_Oligo6	canberra	Reactome	20000	269	74.71	75	7.47561017407592	3.58666666666667	25.9898517279249
GSE60631_l2_Oligo6	canberra	Reactome	50000	620	243.26	243	14.3284840281676	2.55144032921811	26.2930816169657
GSE60631_l2_Oligo6	canberra	Reactome	1e+05	1246	612.77	612	22.3493181149229	2.0359477124183	28.3333029108027
GSE60631_l2_Oligo6	canberra	STRING	20000	123	34.77	35	6.12307277451609	3.51428571428571	14.4094318733575
GSE60631_l2_Oligo6	canberra	STRING	50000	234	64.13	64	7.85558412978959	3.65625	21.6241080476532
GSE60631_l2_Oligo6	canberra	STRING	1e+05	368	109.53	109.5	8.67069253813726	3.36073059360731	29.8096142681964
GSE60631_l2_Oligo6	canberra	OmniPath	20000	107	12.1	12	3.29217008041563	8.91666666666667	28.825971223218
GSE60631_l2_Oligo6	canberra	OmniPath	50000	149	24.18	24	4.58231118078811	6.20833333333333	27.2395293718425
GSE60631_l2_Oligo6	canberra	OmniPath	1e+05	195	43.23	43	5.94563756552702	4.53488372093023	25.5262784398375
