dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo6	kendall	HIPPIE	20000	175	59.09	59	6.91958864895212	2.96610169491525	16.7509957427242
GSE60631_l2_Oligo6	kendall	HIPPIE	50000	406	179.1	178	12.9532960588369	2.28089887640449	17.5167771175281
GSE60631_l2_Oligo6	kendall	HIPPIE	1e+05	686	389.82	387	19.5976601365643	1.77260981912145	15.1130286950636
GSE60631_l2_Oligo6	kendall	Reactome	20000	323	70.86	71	7.30437809768494	4.54929577464789	34.5190236085826
GSE60631_l2_Oligo6	kendall	Reactome	50000	735	226.41	227	12.2161467912039	3.23788546255507	41.6326038555957
GSE60631_l2_Oligo6	kendall	Reactome	1e+05	1296	498.91	498.5	19.7136547047518	2.59979939819458	40.433395630485
GSE60631_l2_Oligo6	kendall	STRING	20000	266	52.33	52	6.14809652730753	5.11538461538461	34.7538460157479
GSE60631_l2_Oligo6	kendall	STRING	50000	511	118.96	120	9.87693977879482	4.25833333333333	39.6924562445633
GSE60631_l2_Oligo6	kendall	STRING	1e+05	753	214.89	216	13.4434055028907	3.48611111111111	40.027803958178
GSE60631_l2_Oligo6	kendall	OmniPath	20000	127	15.45	16	3.72644114891992	7.9375	29.9347274093761
GSE60631_l2_Oligo6	kendall	OmniPath	50000	225	40.33	40	5.68189575704618	5.625	32.5014762495403
GSE60631_l2_Oligo6	kendall	OmniPath	1e+05	328	74.73	74.5	7.21650045298126	4.40268456375839	35.0959584427615
