dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Oligo6	zi_kendall	HIPPIE	20000	249	106.94	106	9.35043887048662	2.34905660377358	15.1928697644763
GSE60631_l2_Oligo6	zi_kendall	HIPPIE	50000	464	252.29	253	14.1359167164405	1.83399209486166	14.9767435849261
GSE60631_l2_Oligo6	zi_kendall	HIPPIE	1e+05	732	446.95	446	18.2836102572879	1.64125560538117	15.5904657772049
GSE60631_l2_Oligo6	zi_kendall	Reactome	20000	456	129.95	130	10.5795447764433	3.50769230769231	30.8189063792228
GSE60631_l2_Oligo6	zi_kendall	Reactome	50000	906	351.26	350.5	16.6276027050556	2.5848787446505	33.362596511362
GSE60631_l2_Oligo6	zi_kendall	Reactome	1e+05	1482	691.16	688.5	23.1122513316241	2.15250544662309	34.21735029845
GSE60631_l2_Oligo6	zi_kendall	STRING	20000	195	34.42	34	5.45538377396239	5.73529411764706	29.4351427238576
GSE60631_l2_Oligo6	zi_kendall	STRING	50000	355	80.03	80.5	9.15683219009586	4.40993788819876	30.0289438849181
GSE60631_l2_Oligo6	zi_kendall	STRING	1e+05	500	141.31	142	10.964308487363	3.52112676056338	32.7143294457111
GSE60631_l2_Oligo6	zi_kendall	OmniPath	20000	145	13.18	13	3.59960716150689	11.1538461538462	36.6206627794397
GSE60631_l2_Oligo6	zi_kendall	OmniPath	50000	187	28.79	28	5.41657575681287	6.67857142857143	29.208490216537
GSE60631_l2_Oligo6	zi_kendall	OmniPath	1e+05	259	53.82	53	6.83334072431234	4.88679245283019	30.0263089867582
