dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Pvm2	bicor	HIPPIE	20000	52	53.46	53	7.84112442977615	0.981132075471698	-0.186197784906428
GSE60631_l2_Pvm2	bicor	HIPPIE	50000	165	141.82	140.5	11.6760827802354	1.17437722419929	1.98525485270093
GSE60631_l2_Pvm2	bicor	HIPPIE	1e+05	341	290.84	291.5	16.4812228633287	1.16981132075472	3.04346348665717
GSE60631_l2_Pvm2	bicor	Reactome	20000	137	69.36	68.5	8.07229956096899	2	8.37927278207705
GSE60631_l2_Pvm2	bicor	Reactome	50000	352	192.94	192	12.4396076458962	1.83333333333333	12.786576918483
GSE60631_l2_Pvm2	bicor	Reactome	1e+05	723	415.41	413.5	19.7566482864668	1.74848851269649	15.5689363671417
GSE60631_l2_Pvm2	bicor	STRING	20000	53	30.05	30	5.1234753829798	1.76666666666667	4.47938133483377
GSE60631_l2_Pvm2	bicor	STRING	50000	117	66.46	67	8.04459791136608	1.74626865671642	6.28247683188651
GSE60631_l2_Pvm2	bicor	STRING	1e+05	222	126.32	126	11.4016479404328	1.76190476190476	8.39176937403033
GSE60631_l2_Pvm2	bicor	OmniPath	20000	19	15.03	15	3.83881031655182	1.26666666666667	1.03417456780361
GSE60631_l2_Pvm2	bicor	OmniPath	50000	55	34.09	34	6.36133363820557	1.61764705882353	3.28704658319075
GSE60631_l2_Pvm2	bicor	OmniPath	1e+05	119	62.14	62	7.90603911863928	1.91935483870968	7.19197048569452
