dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Pvm2	kendall	HIPPIE	20000	57	52.32	51.5	6.45400196886718	1.10679611650485	0.725131480060804
GSE60631_l2_Pvm2	kendall	HIPPIE	50000	138	139.07	140	9.49987240743663	0.985714285714286	-0.112633091699461
GSE60631_l2_Pvm2	kendall	HIPPIE	1e+05	325	293.82	294	14.8353794979598	1.10544217687075	2.10173255118199
GSE60631_l2_Pvm2	kendall	Reactome	20000	124	73.94	73.5	8.20177364410229	1.68707482993197	6.10355786104839
GSE60631_l2_Pvm2	kendall	Reactome	50000	329	193.54	192.5	13.028655286938	1.70909090909091	10.3970822020141
GSE60631_l2_Pvm2	kendall	Reactome	1e+05	670	395.4	396	18.1797978675521	1.69191919191919	15.1046783908481
GSE60631_l2_Pvm2	kendall	STRING	20000	40	17.94	18	3.62600038442894	2.22222222222222	6.08383829597256
GSE60631_l2_Pvm2	kendall	STRING	50000	101	50.8	51	6.55974870176465	1.98039215686275	7.65273218263614
GSE60631_l2_Pvm2	kendall	STRING	1e+05	205	105.06	105.5	10.7963892205691	1.94312796208531	9.25679854238639
GSE60631_l2_Pvm2	kendall	OmniPath	20000	24	11.29	11	3.17596720335202	2.18181818181818	4.00193049430279
GSE60631_l2_Pvm2	kendall	OmniPath	50000	57	28.3	28	4.92878578282007	2.03571428571429	5.82293515373251
GSE60631_l2_Pvm2	kendall	OmniPath	1e+05	114	58.04	59	7.78877721500946	1.93220338983051	7.18469644916298
