dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_S1PyrDL	MI	HIPPIE	20000	77	39.83	40	6.22483621138628	1.925	5.97124144921433
GSE60631_l2_S1PyrDL	MI	HIPPIE	50000	196	120.46	121	11.0795288526164	1.6198347107438	6.81797944703771
GSE60631_l2_S1PyrDL	MI	HIPPIE	1e+05	387	245.3	244.5	15.140086598901	1.58282208588957	9.35925954414855
GSE60631_l2_S1PyrDL	MI	Reactome	20000	137	62.17	62	6.7824118948285	2.20967741935484	11.0329483317073
GSE60631_l2_S1PyrDL	MI	Reactome	50000	317	156.16	157	11.0615541312231	2.01910828025478	14.5404522811131
GSE60631_l2_S1PyrDL	MI	Reactome	1e+05	581	316.46	315.5	15.8913101213757	1.84152139461173	16.6468338972356
GSE60631_l2_S1PyrDL	MI	STRING	20000	75	21.11	21	4.42192654206674	3.57142857142857	12.1869957556583
GSE60631_l2_S1PyrDL	MI	STRING	50000	146	50.83	50	7.24193037494531	2.92	13.1415237474882
GSE60631_l2_S1PyrDL	MI	STRING	1e+05	271	95.88	96	9.84658070170308	2.82291666666667	17.7848539818204
GSE60631_l2_S1PyrDL	MI	OmniPath	20000	29	6.15	6	2.21735578260835	4.83333333333333	10.3050670439188
GSE60631_l2_S1PyrDL	MI	OmniPath	50000	55	18.35	18	3.91932533876828	3.05555555555556	9.35109918982074
GSE60631_l2_S1PyrDL	MI	OmniPath	1e+05	105	37.35	37	5.8298691012212	2.83783783783784	11.6040341258827
