dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_S1PyrL23	canberra	HIPPIE	20000	128	92.12	92.5	10.407145952118	1.38378378378378	3.44763109550681
GSE60631_l2_S1PyrL23	canberra	HIPPIE	50000	284	210.3	209	14.6787140603204	1.35885167464115	5.02087578633516
GSE60631_l2_S1PyrL23	canberra	HIPPIE	1e+05	495	405.63	406.5	18.9228390677466	1.21771217712177	4.72286424251889
GSE60631_l2_S1PyrL23	canberra	Reactome	20000	268	125.25	124	10.3527432562241	2.16129032258065	13.7886158737858
GSE60631_l2_S1PyrL23	canberra	Reactome	50000	589	298.93	299	15.3064685606439	1.96989966555184	18.950811472336
GSE60631_l2_S1PyrL23	canberra	Reactome	1e+05	1069	562.46	564.5	21.2913507359589	1.89371124889283	23.7908813903717
GSE60631_l2_S1PyrL23	canberra	STRING	20000	149	52.17	52	6.06705792944092	2.86538461538462	15.959959691521
GSE60631_l2_S1PyrL23	canberra	STRING	50000	276	101.04	101	8.0803040246833	2.73267326732673	21.6526506262068
GSE60631_l2_S1PyrL23	canberra	STRING	1e+05	452	163.97	165	11.1757809932049	2.73939393939394	25.7726954541367
GSE60631_l2_S1PyrL23	canberra	OmniPath	20000	45	16.89	17	3.9	2.64705882352941	7.20769230769231
GSE60631_l2_S1PyrL23	canberra	OmniPath	50000	92	40.51	40.5	5.68090012785177	2.2716049382716	9.06370449069502
GSE60631_l2_S1PyrL23	canberra	OmniPath	1e+05	175	81.17	81	8.56355326044303	2.16049382716049	10.9569003830947
