dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_S1PyrL23	manhattan	HIPPIE	20000	9	12.77	12.5	3.40188598909903	0.72	-1.10820880302296
GSE60631_l2_S1PyrL23	manhattan	HIPPIE	50000	25	35.8	35	5.58678093468155	0.714285714285714	-1.93313468458301
GSE60631_l2_S1PyrL23	manhattan	HIPPIE	1e+05	63	74.89	75	8.57868511975107	0.84	-1.38599328848487
GSE60631_l2_S1PyrL23	manhattan	Reactome	20000	40	20	20	4.64931840339653	2	4.30170581248837
GSE60631_l2_S1PyrL23	manhattan	Reactome	50000	104	47.57	47	6.56168092531605	2.21276595744681	8.59993051205579
GSE60631_l2_S1PyrL23	manhattan	Reactome	1e+05	200	104.97	106	10.3127409674939	1.88679245283019	9.21481498464259
GSE60631_l2_S1PyrL23	manhattan	STRING	20000	12	6.99	7	2.56824036761721	1.71428571428571	1.95075198691322
GSE60631_l2_S1PyrL23	manhattan	STRING	50000	36	19.25	19	4.21966296705739	1.89473684210526	3.96951134030516
GSE60631_l2_S1PyrL23	manhattan	STRING	1e+05	59	40.88	40.5	5.97685772650046	1.45679012345679	3.03169337955942
GSE60631_l2_S1PyrL23	manhattan	OmniPath	20000	2	2.17	2	1.33374993491617	1	-0.127460174917036
GSE60631_l2_S1PyrL23	manhattan	OmniPath	50000	10	6.19	6	2.28165720386731	1.66666666666667	1.66983891951088
GSE60631_l2_S1PyrL23	manhattan	OmniPath	1e+05	11	11.19	11	3.14207356098266	1	-0.0604696218316984
