dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_S1PyrL23	weighted_rank	HIPPIE	20000	138	99.88	99	10.7414800627937	1.39393939393939	3.54885916811781
GSE60631_l2_S1PyrL23	weighted_rank	HIPPIE	50000	281	218.41	219.5	14.2304943588397	1.28018223234624	4.39830117083179
GSE60631_l2_S1PyrL23	weighted_rank	HIPPIE	1e+05	470	385.09	384.5	20.70675242426	1.222366710013	4.10059473645514
GSE60631_l2_S1PyrL23	weighted_rank	Reactome	20000	221	97.07	97	8.12311205726903	2.27835051546392	15.2564681031453
GSE60631_l2_S1PyrL23	weighted_rank	Reactome	50000	450	223.45	222	14.495122830062	2.02702702702703	15.6293949803687
GSE60631_l2_S1PyrL23	weighted_rank	Reactome	1e+05	794	411.89	410	19.0898434045992	1.93658536585366	20.016403063209
GSE60631_l2_S1PyrL23	weighted_rank	STRING	20000	158	52.81	52	6.59766564166387	3.03846153846154	15.9435178611858
GSE60631_l2_S1PyrL23	weighted_rank	STRING	50000	281	102	101	10.1702676186197	2.78217821782178	17.6003234833554
GSE60631_l2_S1PyrL23	weighted_rank	STRING	1e+05	428	167.24	168	12.6188251225995	2.54761904761905	20.6643643498154
GSE60631_l2_S1PyrL23	weighted_rank	OmniPath	20000	47	23.43	23	4.76361419533742	2.04347826086957	4.947923789267
GSE60631_l2_S1PyrL23	weighted_rank	OmniPath	50000	88	45.95	46	6.66117197805402	1.91304347826087	6.31270295055261
GSE60631_l2_S1PyrL23	weighted_rank	OmniPath	1e+05	148	79.28	79	8.51627082042772	1.87341772151899	8.06925959131823
