dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Vend1	canberra	HIPPIE	20000	248	121.38	121	10.8625759171366	2.0495867768595	11.6565353343351
GSE60631_l2_Vend1	canberra	HIPPIE	50000	481	279.39	280	15.3648523217337	1.71785714285714	13.1215058744704
GSE60631_l2_Vend1	canberra	HIPPIE	1e+05	787	511.36	512	17.8079088093357	1.537109375	15.4785159195951
GSE60631_l2_Vend1	canberra	Reactome	20000	396	123.69	123	10.2540408393644	3.21951219512195	26.5563600014761
GSE60631_l2_Vend1	canberra	Reactome	50000	746	318.75	319.5	15.9001778784282	2.33489827856025	26.8707685704354
GSE60631_l2_Vend1	canberra	Reactome	1e+05	1252	624.63	626.5	22.7913925804804	1.99840383080607	27.5266198756679
GSE60631_l2_Vend1	canberra	STRING	20000	173	51.96	52	6.37216167751921	3.32692307692308	18.9951238097152
GSE60631_l2_Vend1	canberra	STRING	50000	316	119.29	118	11.1239980822245	2.67796610169492	17.6833903193791
GSE60631_l2_Vend1	canberra	STRING	1e+05	468	204.66	203	14.0742762700344	2.30541871921182	18.7107311912499
GSE60631_l2_Vend1	canberra	OmniPath	20000	177	24.13	23.5	4.73468823971259	7.53191489361702	32.2872367219007
GSE60631_l2_Vend1	canberra	OmniPath	50000	258	57.57	58	7.52672678935646	4.44827586206897	26.6291052683655
GSE60631_l2_Vend1	canberra	OmniPath	1e+05	340	99.49	99.5	9.54150423310198	3.41708542713568	25.2067173188068
