dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Vend1	kendall	HIPPIE	20000	115	57.49	56.5	8.49063060560334	2.0353982300885	6.77334849098801
GSE60631_l2_Vend1	kendall	HIPPIE	50000	224	150.25	150	12.5909820221787	1.49333333333333	5.85736679395546
GSE60631_l2_Vend1	kendall	HIPPIE	1e+05	413	306.84	307	16.6604351987006	1.34527687296417	6.37198240825546
GSE60631_l2_Vend1	kendall	Reactome	20000	173	64.29	64	7.33787049724533	2.703125	14.8149248533086
GSE60631_l2_Vend1	kendall	Reactome	50000	375	173.63	173	12.7712231761152	2.16763005780347	15.7674795298076
GSE60631_l2_Vend1	kendall	Reactome	1e+05	700	367.47	369.5	19.4538848655901	1.89445196211096	17.0932439611677
GSE60631_l2_Vend1	kendall	STRING	20000	69	21.62	22	4.13357770538606	3.13636363636364	11.4622255530031
GSE60631_l2_Vend1	kendall	STRING	50000	149	57.61	57.5	6.52562160822533	2.59130434782609	14.0047960924988
GSE60631_l2_Vend1	kendall	STRING	1e+05	272	124.63	124	9.95206186443469	2.19354838709677	14.8079867275193
GSE60631_l2_Vend1	kendall	OmniPath	20000	80	14.87	15	3.78635241973917	5.33333333333333	17.2012514367288
GSE60631_l2_Vend1	kendall	OmniPath	50000	129	34.29	34.5	5.90889587867738	3.73913043478261	16.0283751727234
GSE60631_l2_Vend1	kendall	OmniPath	1e+05	233	70.93	70	8.7735311297589	3.32857142857143	18.4726078477428
