dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Vend2	cosine	HIPPIE	20000	305	132.88	132	11.428548340525	2.31060606060606	15.0605304253447
GSE60631_l2_Vend2	cosine	HIPPIE	50000	550	311.25	310	18.4518893943743	1.7741935483871	12.939054364416
GSE60631_l2_Vend2	cosine	HIPPIE	1e+05	896	589.66	592	23.8976014180368	1.51351351351351	12.8188597106984
GSE60631_l2_Vend2	cosine	Reactome	20000	447	120.33	121	9.35825136907899	3.69421487603306	34.9071623657562
GSE60631_l2_Vend2	cosine	Reactome	50000	878	322.1	324	16.4092238165803	2.70987654320988	33.8772879335282
GSE60631_l2_Vend2	cosine	Reactome	1e+05	1475	648.5	647.5	21.6885670202976	2.27799227799228	38.1076351990663
GSE60631_l2_Vend2	cosine	STRING	20000	264	68.03	67	7.96133966697372	3.94029850746269	24.6152039980091
GSE60631_l2_Vend2	cosine	STRING	50000	453	140.57	139.5	9.96585585026609	3.24731182795699	31.3500420530022
GSE60631_l2_Vend2	cosine	STRING	1e+05	661	242.29	242.5	13.972046407312	2.72577319587629	29.9676931920921
GSE60631_l2_Vend2	cosine	OmniPath	20000	213	25.31	25	4.39626793054879	8.52	42.6930303077708
GSE60631_l2_Vend2	cosine	OmniPath	50000	306	55.87	56	7.2692169558705	5.46428571428571	34.4094833760601
GSE60631_l2_Vend2	cosine	OmniPath	1e+05	406	100.33	99	9.02863570127085	4.1010101010101	33.8556134186447
