dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Vsmc	cosine	HIPPIE	20000	166	78.81	78	9.76873491390681	2.12820512820513	8.92541365575147
GSE60631_l2_Vsmc	cosine	HIPPIE	50000	358	211.64	212	13.2912365751637	1.68867924528302	11.0117669768584
GSE60631_l2_Vsmc	cosine	HIPPIE	1e+05	624	445.77	445	21.2668732772333	1.40224719101124	8.3806395832903
GSE60631_l2_Vsmc	cosine	Reactome	20000	296	86.31	86	8.3939552565215	3.44186046511628	24.9810719251912
GSE60631_l2_Vsmc	cosine	Reactome	50000	577	247.06	249	13.9079368373137	2.31726907630522	23.7231448387659
GSE60631_l2_Vsmc	cosine	Reactome	1e+05	1002	507.89	508	18.6785108527625	1.97244094488189	26.4533936294457
GSE60631_l2_Vsmc	cosine	STRING	20000	171	53.6	53	6.75995337979262	3.22641509433962	17.3669836763877
GSE60631_l2_Vsmc	cosine	STRING	50000	303	117.54	116	9.60788817334565	2.61206896551724	19.3028891108981
GSE60631_l2_Vsmc	cosine	STRING	1e+05	460	203.5	202.5	14.014782959937	2.2716049382716	18.3021029104223
GSE60631_l2_Vsmc	cosine	OmniPath	20000	127	17.85	17.5	4.27436568629803	7.25714285714286	25.535952702852
GSE60631_l2_Vsmc	cosine	OmniPath	50000	190	40.29	40	6.11554568210385	4.75	24.4802357438196
GSE60631_l2_Vsmc	cosine	OmniPath	1e+05	261	75.54	75	8.03077414284161	3.48	23.0936640355293
