dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60631_l2_Vsmc	weighted_rank	HIPPIE	20000	73	47.24	47	7.57203787469117	1.5531914893617	3.40199037911583
GSE60631_l2_Vsmc	weighted_rank	HIPPIE	50000	187	128.39	128	10.6892705574564	1.4609375	5.48306824913472
GSE60631_l2_Vsmc	weighted_rank	HIPPIE	1e+05	389	279.17	280	15.3997605910815	1.38928571428571	7.1319290550274
GSE60631_l2_Vsmc	weighted_rank	Reactome	20000	138	60.89	61	7.40174017213233	2.26229508196721	10.4178204323249
GSE60631_l2_Vsmc	weighted_rank	Reactome	50000	331	166.57	167	11.6993093122559	1.98203592814371	14.0546758455003
GSE60631_l2_Vsmc	weighted_rank	Reactome	1e+05	703	375.17	374	18.4517142178107	1.87967914438503	17.7669129344936
GSE60631_l2_Vsmc	weighted_rank	STRING	20000	108	23.79	24	4.86649024171705	4.5	17.3040519588688
GSE60631_l2_Vsmc	weighted_rank	STRING	50000	187	54.5	53	7.31609544260137	3.52830188679245	18.1107533437108
GSE60631_l2_Vsmc	weighted_rank	STRING	1e+05	291	111.83	112	10.1285225821425	2.59821428571429	17.6896480752182
GSE60631_l2_Vsmc	weighted_rank	OmniPath	20000	46	11.42	12	2.97525145359534	3.83333333333333	11.6225470483219
GSE60631_l2_Vsmc	weighted_rank	OmniPath	50000	83	25.79	25.5	5.1645547981047	3.25490196078431	11.0774311119702
GSE60631_l2_Vsmc	weighted_rank	OmniPath	1e+05	142	51.75	52	6.65206734782504	2.73076923076923	13.5672108054511
