dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60749_NPCs	hamming	HIPPIE	20000	279	421	419.5	18.5505043629873	0.66507747318236	-7.65477839423729
GSE60749_NPCs	hamming	HIPPIE	50000	621	1002.16	999.5	26.538601578406	0.621310655327664	-14.3624749357609
GSE60749_NPCs	hamming	HIPPIE	1e+05	1175	1835.6	1832	34.5890740032751	0.641375545851528	-19.0985164834841
GSE60749_NPCs	hamming	Reactome	20000	867	525.67	523.5	18.3523620256138	1.65616045845272	18.5986958803241
GSE60749_NPCs	hamming	Reactome	50000	1737	1040.37	1037.5	30.3683297951246	1.67421686746988	22.9393583611516
GSE60749_NPCs	hamming	Reactome	1e+05	2867	1814.19	1814.5	37.0401624775545	1.58004960044089	28.42347143153
GSE60749_NPCs	hamming	STRING	20000	152	177.59	177	11.1020018214935	0.858757062146893	-2.3049897136981
GSE60749_NPCs	hamming	STRING	50000	288	362.54	362.5	14.7308650064544	0.79448275862069	-5.06012375833597
GSE60749_NPCs	hamming	STRING	1e+05	538	639.55	639	19.9050143421098	0.841940532081377	-5.10172955691709
GSE60749_NPCs	hamming	OmniPath	20000	75	86.16	85.5	8.89185304112987	0.87719298245614	-1.25508147158738
GSE60749_NPCs	hamming	OmniPath	50000	140	172.09	171	11.9503138034112	0.818713450292398	-2.68528513375439
GSE60749_NPCs	hamming	OmniPath	1e+05	239	300.59	302	15.4181416165857	0.791390728476821	-3.99464484965854
