dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60749_mESCs	bicor	HIPPIE	20000	149	196.74	196.5	12.2124460442549	0.758269720101781	-3.90912678975218
GSE60749_mESCs	bicor	HIPPIE	50000	309	476.53	477	19.8129918605103	0.647798742138365	-8.45556295482601
GSE60749_mESCs	bicor	HIPPIE	1e+05	594	905.17	905	26.7661232444176	0.656353591160221	-11.6255162228209
GSE60749_mESCs	bicor	Reactome	20000	579	192.74	193	12.9018204024459	3	29.938410856097
GSE60749_mESCs	bicor	Reactome	50000	1116	454.94	455.5	16.9185929639195	2.45005488474204	39.0729891906361
GSE60749_mESCs	bicor	Reactome	1e+05	1905	871.23	872	23.1646957958254	2.18463302752294	44.6269620422255
GSE60749_mESCs	bicor	STRING	20000	146	84.59	85	8.15765736822611	1.71764705882353	7.52789645703809
GSE60749_mESCs	bicor	STRING	50000	312	200.71	200	12.3519883485055	1.56	9.0098854419228
GSE60749_mESCs	bicor	STRING	1e+05	491	371.85	372	16.8315330570482	1.31989247311828	7.07897489766128
GSE60749_mESCs	bicor	OmniPath	20000	31	14.76	15	3.581997636893	2.06666666666667	4.53378300218156
GSE60749_mESCs	bicor	OmniPath	50000	68	36.06	36	5.1065812161535	1.88888888888889	6.25467385086624
GSE60749_mESCs	bicor	OmniPath	1e+05	119	77.42	78	8.16023865763097	1.52564102564103	5.09543920766543
