dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60768_NSCs	weighted_rank	HIPPIE	20000	199	146.46	146	11.8674667758864	1.36301369863014	4.42722958422402
GSE60768_NSCs	weighted_rank	HIPPIE	50000	380	352.03	353	19.9197658296244	1.07648725212465	1.4041329722061
GSE60768_NSCs	weighted_rank	HIPPIE	1e+05	690	662.46	662	26.5681589634485	1.04229607250755	1.03657916372333
GSE60768_NSCs	weighted_rank	Reactome	20000	509	113.07	112	10.4080922285683	4.54464285714286	38.0405929641212
GSE60768_NSCs	weighted_rank	Reactome	50000	936	279.79	278.5	17.1359949589256	3.36086175942549	38.2942456258253
GSE60768_NSCs	weighted_rank	Reactome	1e+05	1544	557.05	556	22.7686542457304	2.77697841726619	43.346874582413
GSE60768_NSCs	weighted_rank	STRING	20000	121	43.35	43	6.47664802941843	2.81395348837209	11.9892264713623
GSE60768_NSCs	weighted_rank	STRING	50000	228	104.76	104.5	10.5735710164733	2.18181818181818	11.6554756957698
GSE60768_NSCs	weighted_rank	STRING	1e+05	359	212.85	213	14.9837454016887	1.68544600938967	9.75390305173825
GSE60768_NSCs	weighted_rank	OmniPath	20000	104	24.47	24	4.11563905711918	4.33333333333333	19.3238519938793
GSE60768_NSCs	weighted_rank	OmniPath	50000	160	52.95	52	5.97025455017953	3.07692307692308	17.9305587559547
GSE60768_NSCs	weighted_rank	OmniPath	1e+05	227	94.3	94	8.9018214002767	2.41489361702128	14.9070616038056
