dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60768_mESCs	canberra	HIPPIE	20000	361	311.84	312	15.0142827623795	1.15705128205128	3.27421567703371
GSE60768_mESCs	canberra	HIPPIE	50000	639	674.91	675	21.9775344431995	0.946666666666667	-1.6339412454481
GSE60768_mESCs	canberra	HIPPIE	1e+05	1095	1262.05	1263.5	34.8153498597757	0.866640284922833	-4.79817094105962
GSE60768_mESCs	canberra	Reactome	20000	836	245.94	246	11.4157608576737	3.39837398373984	51.6881885803834
GSE60768_mESCs	canberra	Reactome	50000	1663	612.6	611	17.8149863141608	2.72176759410802	58.9615945517205
GSE60768_mESCs	canberra	Reactome	1e+05	2874	1226.63	1227.5	26.8650405553464	2.34134419551935	61.3202126609915
GSE60768_mESCs	canberra	STRING	20000	227	122.09	120	10.3768341448	1.89166666666667	10.1100199286284
GSE60768_mESCs	canberra	STRING	50000	408	261.37	261	14.3270987145255	1.5632183908046	10.2344517143125
GSE60768_mESCs	canberra	STRING	1e+05	643	462.3	462	19.2335460310701	1.39177489177489	9.39504341571205
GSE60768_mESCs	canberra	OmniPath	20000	180	41.68	42	6.24884635817531	4.28571428571429	22.1352857906383
GSE60768_mESCs	canberra	OmniPath	50000	233	74.67	73	8.14645612979948	3.19178082191781	19.4354449931712
GSE60768_mESCs	canberra	OmniPath	1e+05	326	136.12	135.5	10.2171177417849	2.40590405904059	18.5844975852093
