dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE60768_mESCs	manhattan	HIPPIE	20000	23	25.45	25	5.47976074092453	0.92	-0.447099812534268
GSE60768_mESCs	manhattan	HIPPIE	50000	56	61.75	61.5	8.0783724233351	0.910569105691057	-0.711777038576559
GSE60768_mESCs	manhattan	HIPPIE	1e+05	111	126.81	126.5	10.9735172487257	0.877470355731225	-1.44074134497177
GSE60768_mESCs	manhattan	Reactome	20000	77	41.28	41	6.08538570609285	1.8780487804878	5.86980049008827
GSE60768_mESCs	manhattan	Reactome	50000	167	96.48	97	9.58584815488357	1.72164948453608	7.35667818439969
GSE60768_mESCs	manhattan	Reactome	1e+05	330	192.82	192	12.5556377935986	1.71875	10.9257691449128
GSE60768_mESCs	manhattan	STRING	20000	15	12.04	12	3.23778200674973	1.25	0.914206081147327
GSE60768_mESCs	manhattan	STRING	50000	34	28.1	28	5.04024209776082	1.21428571428571	1.17057869157141
GSE60768_mESCs	manhattan	STRING	1e+05	60	59.01	59	8.07226827796965	1.01694915254237	0.122642108253742
GSE60768_mESCs	manhattan	OmniPath	20000	7	5.26	5	2.02818523649477	1.4	0.857909804632623
GSE60768_mESCs	manhattan	OmniPath	50000	12	12.88	13	3.47946356018664	0.923076923076923	-0.252912549528985
GSE60768_mESCs	manhattan	OmniPath	1e+05	27	26.54	26.5	5.13537936399262	1.0188679245283	0.0895746871643702
