dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE63472_c27	cosine	HIPPIE	20000	263	323.48	326	16.0223833332238	0.806748466257669	-3.77471932497018
GSE63472_c27	cosine	HIPPIE	50000	522	691.49	692	23.8104870367931	0.754335260115607	-7.11829202561442
GSE63472_c27	cosine	HIPPIE	1e+05	935	1247.78	1253	30.9514380142751	0.746209098164405	-10.1055078557495
GSE63472_c27	cosine	Reactome	20000	537	229	228.5	12.8267397465316	2.35010940919037	24.0123372023109
GSE63472_c27	cosine	Reactome	50000	1083	498.65	500.5	17.8271017149607	2.16383616383616	32.7787438105885
GSE63472_c27	cosine	Reactome	1e+05	1854	865.97	866.5	23.9740832289092	2.13964223889209	41.2124205362139
GSE63472_c27	cosine	STRING	20000	220	116.03	116	10.1299186830523	1.89655172413793	10.2636559337781
GSE63472_c27	cosine	STRING	50000	376	227.72	229	13.5453447219465	1.64192139737991	10.9469343928732
GSE63472_c27	cosine	STRING	1e+05	559	382.35	382	17.5005771910586	1.46335078534031	10.0939527920401
GSE63472_c27	cosine	OmniPath	20000	48	28.42	28	5.34313493270485	1.71428571428571	3.66451535411403
GSE63472_c27	cosine	OmniPath	50000	92	62.02	62	7.12086137111703	1.48387096774194	4.21016481539748
GSE63472_c27	cosine	OmniPath	1e+05	156	111.43	112.5	10.5239073666878	1.38666666666667	4.23511899592361
