dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE63472_c28	bicor	HIPPIE	20000	135	153.76	153.5	10.9065081117615	0.879478827361563	-1.7200739052098
GSE63472_c28	bicor	HIPPIE	50000	333	407	406	18.574447529068	0.820197044334975	-3.98396775377539
GSE63472_c28	bicor	HIPPIE	1e+05	638	821.19	819	26.709698234873	0.778998778998779	-6.85855745688738
GSE63472_c28	bicor	Reactome	20000	332	136.45	137.5	9.49255423258597	2.41454545454545	20.6003563644353
GSE63472_c28	bicor	Reactome	50000	756	346.27	346	14.2975981595271	2.1849710982659	28.6572608509758
GSE63472_c28	bicor	Reactome	1e+05	1380	681.26	680.5	23.3076135304507	2.02792064658339	29.9790452200144
GSE63472_c28	bicor	STRING	20000	118	55.98	56	6.16765757804371	2.10714285714286	10.0556814666212
GSE63472_c28	bicor	STRING	50000	226	131.62	131	10.0742496023528	1.72519083969466	9.3684397077037
GSE63472_c28	bicor	STRING	1e+05	371	245.94	246	15.1483039021242	1.50813008130081	8.25570973542875
GSE63472_c28	bicor	OmniPath	20000	40	14.91	15	3.58192713775727	2.66666666666667	7.00460926061981
GSE63472_c28	bicor	OmniPath	50000	82	37.14	36	6.34531561886643	2.27777777777778	7.06978229209252
GSE63472_c28	bicor	OmniPath	1e+05	120	73.08	72	9.12060604046982	1.66666666666667	5.14439498776806
