dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE63472_c28	spearman	HIPPIE	20000	246	286.64	287.5	14.4190670623829	0.855652173913043	-2.81849025489475
GSE63472_c28	spearman	HIPPIE	50000	510	638.38	636	22.819352056595	0.80188679245283	-5.6259266118337
GSE63472_c28	spearman	HIPPIE	1e+05	878	1178.44	1182	30.9836450829508	0.742808798646362	-9.69672868365386
GSE63472_c28	spearman	Reactome	20000	501	206	208	12.468951338214	2.40865384615385	23.6587658415111
GSE63472_c28	spearman	Reactome	50000	978	450.25	451	17.7822832043468	2.16851441241685	29.6784160917532
GSE63472_c28	spearman	Reactome	1e+05	1703	822.67	822	23.2796156551285	2.07177615571776	37.8154868637645
GSE63472_c28	spearman	STRING	20000	222	127.29	128	10.0466537974219	1.734375	9.42701937477964
GSE63472_c28	spearman	STRING	50000	374	244.45	243	13.8274905514159	1.53909465020576	9.36901743076836
GSE63472_c28	spearman	STRING	1e+05	557	411.24	412	19.815879766215	1.35194174757282	7.35571681498151
GSE63472_c28	spearman	OmniPath	20000	54	27.8	27	5.00706571463837	2	5.2326055804307
GSE63472_c28	spearman	OmniPath	50000	97	62.51	62	6.81130225315529	1.56451612903226	5.06364256321509
GSE63472_c28	spearman	OmniPath	1e+05	151	111.91	112	9.92404996343568	1.34821428571429	3.93891608204552
