dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE63472_c30	MI	HIPPIE	20000	141	174.09	174	11.9122168000297	0.810344827586207	-2.77782049768584
GSE63472_c30	MI	HIPPIE	50000	362	462.72	465.5	19.5717173802434	0.77765843179377	-5.14620143154486
GSE63472_c30	MI	HIPPIE	1e+05	704	930.33	928	27.9100485144832	0.758620689655172	-8.10926573210905
GSE63472_c30	MI	Reactome	20000	286	186.96	186.5	13.0916890901183	1.53351206434316	7.56510480185142
GSE63472_c30	MI	Reactome	50000	678	435.87	435	18.7108001005847	1.55862068965517	12.9406545256412
GSE63472_c30	MI	Reactome	1e+05	1353	839.19	840	25.4179984747943	1.61071428571429	20.2144161944741
GSE63472_c30	MI	STRING	20000	164	107.79	107.5	9.31415236848927	1.52558139534884	6.0349023481905
GSE63472_c30	MI	STRING	50000	290	229.34	229.5	13.7761468568763	1.2636165577342	4.40326316423681
GSE63472_c30	MI	STRING	1e+05	427	387.63	390	17.7972049786056	1.09487179487179	2.21214511196154
GSE63472_c30	MI	OmniPath	20000	28	17.72	17	3.77145043502343	1.64705882352941	2.72574177418194
GSE63472_c30	MI	OmniPath	50000	63	44.75	44	6.27223318212175	1.43181818181818	2.90964947732164
GSE63472_c30	MI	OmniPath	1e+05	122	88.53	88	7.87074239564387	1.38636363636364	4.25245781370309
