dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE63472_c31	hamming	HIPPIE	20000	86	118.27	117.5	9.77923485470281	0.731914893617021	-3.29984916810556
GSE63472_c31	hamming	HIPPIE	50000	211	289.19	288	16.5240534807396	0.732638888888889	-4.73188979272779
GSE63472_c31	hamming	HIPPIE	1e+05	397	596.31	592	23.7859541780778	0.670608108108108	-8.37931488927583
GSE63472_c31	hamming	Reactome	20000	293	173.16	173	12.8131245844314	1.69364161849711	9.35290991750843
GSE63472_c31	hamming	Reactome	50000	718	419.17	417.5	18.6677786465332	1.71976047904192	16.0077964099653
GSE63472_c31	hamming	Reactome	1e+05	1398	841.7	840	26.6850315549918	1.66428571428571	20.846893092616
GSE63472_c31	hamming	STRING	20000	61	60.43	60	6.94168349155806	1.01666666666667	0.0821126461172121
GSE63472_c31	hamming	STRING	50000	132	127.03	127.5	9.6152813980474	1.03529411764706	0.516885548561197
GSE63472_c31	hamming	STRING	1e+05	228	236.12	236	14.5645758155488	0.966101694915254	-0.557517095096672
GSE63472_c31	hamming	OmniPath	20000	22	19.07	19	4.80373381713211	1.15789473684211	0.609942205696412
GSE63472_c31	hamming	OmniPath	50000	50	50.2	49.5	6.67272452040788	1.01010101010101	-0.0299727644065512
GSE63472_c31	hamming	OmniPath	1e+05	89	97.27	98	8.25582744906208	0.908163265306122	-1.00171667237783
