dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE63472_c31	jaccard	HIPPIE	20000	209	283.74	284	13.1676217528551	0.735915492957746	-5.6760439662382
GSE63472_c31	jaccard	HIPPIE	50000	442	611.92	610.5	22.0113285800423	0.723996723996724	-7.71966123635385
GSE63472_c31	jaccard	HIPPIE	1e+05	785	1112.93	1111.5	31.3704663914351	0.706252811515969	-10.4534626902943
GSE63472_c31	jaccard	Reactome	20000	389	234.29	235.5	12.9312830302364	1.65180467091295	11.9640100397038
GSE63472_c31	jaccard	Reactome	50000	855	461.85	461.5	17.5926838558682	1.85265438786566	22.3473577551308
GSE63472_c31	jaccard	Reactome	1e+05	1533	791.77	793	24.1463781084778	1.93316519546028	30.6973574533629
GSE63472_c31	jaccard	STRING	20000	166	112.52	113	9.98127539875835	1.46902654867257	5.35803270257956
GSE63472_c31	jaccard	STRING	50000	297	229.41	229	14.0411336559209	1.29694323144105	4.81371388210513
GSE63472_c31	jaccard	STRING	1e+05	498	378.42	379.5	18.0796107046674	1.31225296442688	6.6140804662973
GSE63472_c31	jaccard	OmniPath	20000	32	27.7	28	5.10199010488094	1.14285714285714	0.842808377046107
GSE63472_c31	jaccard	OmniPath	50000	71	60.5	60.5	7.23836579580912	1.17355371900826	1.45060367162976
GSE63472_c31	jaccard	OmniPath	1e+05	133	106.85	107.5	10.5585189885856	1.23720930232558	2.47667310427435
