dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE64960	jaccard	HIPPIE	20000	411	297.08	297.5	15.4460154712921	1.38151260504202	7.37536487722232
GSE64960	jaccard	HIPPIE	50000	798	615.71	617	22.406841938492	1.29335494327391	8.13546150324957
GSE64960	jaccard	HIPPIE	1e+05	1188	1158.26	1159.5	29.1733308403965	1.02457956015524	1.01942421873949
GSE64960	jaccard	Reactome	20000	1033	249.65	247	14.7075016933742	4.18218623481781	53.2619350540616
GSE64960	jaccard	Reactome	50000	2173	521.67	520	21.763677923726	4.17884615384615	75.8755025592334
GSE64960	jaccard	Reactome	1e+05	3114	926.63	924.5	26.2088176233137	3.36830719307734	83.4593163048397
GSE64960	jaccard	STRING	20000	261	138.46	138	11.7046308715134	1.89130434782609	10.4693604903198
GSE64960	jaccard	STRING	50000	481	261.96	260	16.3453388160081	1.85	13.400762288603
GSE64960	jaccard	STRING	1e+05	716	463.36	463	20.4690058874436	1.54643628509719	12.3425632582859
GSE64960	jaccard	OmniPath	20000	304	87.25	87	8.09710635431765	3.49425287356322	26.7688221588471
GSE64960	jaccard	OmniPath	50000	483	154.52	154	10.5672258718295	3.13636363636364	31.0847902736398
GSE64960	jaccard	OmniPath	1e+05	553	247.23	245	14.8036679866372	2.25714285714286	20.6550160592638
