dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE64960	manhattan	HIPPIE	20000	11	16.2	15	3.76319228337009	0.733333333333333	-1.38180555454987
GSE64960	manhattan	HIPPIE	50000	27	47.97	48	6.32048936860002	0.5625	-3.31778107312042
GSE64960	manhattan	HIPPIE	1e+05	63	109.02	110	10.3298919000475	0.572727272727273	-4.45503209958939
GSE64960	manhattan	Reactome	20000	208	122.26	123	10.799008559057	1.69105691056911	7.93961774649128
GSE64960	manhattan	Reactome	50000	469	268.95	270.5	14.6875711904572	1.73382624768946	13.6203595138982
GSE64960	manhattan	Reactome	1e+05	849	464.42	466	18.8546701339107	1.82188841201717	20.3970685919517
GSE64960	manhattan	STRING	20000	8	28.81	28	4.81096180979994	0.285714285714286	-4.32553838976854
GSE64960	manhattan	STRING	50000	20	64.91	64	7.28925457939509	0.3125	-6.16112381737213
GSE64960	manhattan	STRING	1e+05	60	111.79	111	10.5325805254578	0.540540540540541	-4.91712357430555
GSE64960	manhattan	OmniPath	20000	4	5.21	5	1.9811995142215	0.8	-0.610741114821775
GSE64960	manhattan	OmniPath	50000	10	9.95	10	2.70568051896507	1	0.0184796392809621
GSE64960	manhattan	OmniPath	1e+05	17	21.12	21	3.86196160969364	0.80952380952381	-1.06681536907531
