dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE64960	weighted_rank	HIPPIE	20000	131	83.83	83	8.29878292159748	1.57831325301205	5.68396600388723
GSE64960	weighted_rank	HIPPIE	50000	245	222.56	222.5	14.4929937793014	1.10112359550562	1.54833434290494
GSE64960	weighted_rank	HIPPIE	1e+05	409	451.61	450	20.3722404712437	0.908888888888889	-2.09157161973155
GSE64960	weighted_rank	Reactome	20000	754	153.26	153	11.3062242623569	4.9281045751634	53.1335648453493
GSE64960	weighted_rank	Reactome	50000	1180	339.55	339	14.9817228716199	3.48082595870206	56.0983544550857
GSE64960	weighted_rank	Reactome	1e+05	1809	653.18	651.5	25.8259050903811	2.77666922486569	44.7542882216541
GSE64960	weighted_rank	STRING	20000	73	47.74	47	6.48170697058462	1.5531914893617	3.89712156298261
GSE64960	weighted_rank	STRING	50000	142	116.88	117	10.2358845896841	1.21367521367521	2.45411129638139
GSE64960	weighted_rank	STRING	1e+05	253	219.67	220	15.9279025865957	1.15	2.09255423423102
GSE64960	weighted_rank	OmniPath	20000	86	15.94	16	3.92047203919388	5.375	17.8702970712694
GSE64960	weighted_rank	OmniPath	50000	135	39.48	38	6.15207938896117	3.55263157894737	15.5264576350224
GSE64960	weighted_rank	OmniPath	1e+05	192	76.76	76	7.40750370307779	2.52631578947368	15.5571977577437
