dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE65525	rho_p	HIPPIE	20000	439	120.77	120	10.7203714318285	3.65833333333333	29.6846058015476
GSE65525	rho_p	HIPPIE	50000	732	226.55	225.5	14.330426061744	3.24611973392461	35.2711076294746
GSE65525	rho_p	HIPPIE	1e+05	967	359.69	357	17.844273053506	2.70868347338936	34.0338885298932
GSE65525	rho_p	Reactome	20000	1161	170.53	170.5	12.2626599187464	6.80938416422287	80.7712198301964
GSE65525	rho_p	Reactome	50000	2020	361.32	360	17.9577956398447	5.61111111111111	92.3654569450456
GSE65525	rho_p	Reactome	1e+05	2984	633.61	633	21.2920504917073	4.71406003159558	110.388147018316
GSE65525	rho_p	STRING	20000	213	45	44	5.81186525805423	4.84090909090909	28.9063824676908
GSE65525	rho_p	STRING	50000	360	104.34	104	9.5718653386164	3.46153846153846	26.7095274490098
GSE65525	rho_p	STRING	1e+05	483	192.78	191	12.0668006019689	2.52879581151832	24.0511142574649
GSE65525	rho_p	OmniPath	20000	587	93.9	94	8.98539780629515	6.24468085106383	54.877926456916
GSE65525	rho_p	OmniPath	50000	883	157.58	158	12.1640138245249	5.58860759493671	59.6365649089793
GSE65525	rho_p	OmniPath	1e+05	1083	217.77	218	15.0224444876271	4.96788990825688	57.5958194229059
