dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE67835_astrocytes	kendall	HIPPIE	20000	22	22.66	23	4.22168523964379	0.956521739130435	-0.156335672257671
GSE67835_astrocytes	kendall	HIPPIE	50000	74	97.52	96.5	9.17339147268398	0.766839378238342	-2.56393723848334
GSE67835_astrocytes	kendall	HIPPIE	1e+05	179	277.29	278	17.4427172148832	0.643884892086331	-5.63501653951787
GSE67835_astrocytes	kendall	Reactome	20000	133	73.68	73.5	8.06649135797484	1.80952380952381	7.35387882630705
GSE67835_astrocytes	kendall	Reactome	50000	360	225.89	226	14.251631131172	1.5929203539823	9.4101509339985
GSE67835_astrocytes	kendall	Reactome	1e+05	856	540.33	539	22.5948304626603	1.58812615955473	13.970894825773
GSE67835_astrocytes	kendall	STRING	20000	42	29.03	28	5.21159352508492	1.5	2.48868219241804
GSE67835_astrocytes	kendall	STRING	50000	96	83.74	83	8.62299017719257	1.1566265060241	1.42178058284552
GSE67835_astrocytes	kendall	STRING	1e+05	188	191.83	192	13.8265262550949	0.979166666666667	-0.27700377732901
GSE67835_astrocytes	kendall	OmniPath	20000	8	4.21	4	2.02656598633494	2	1.87015869483443
GSE67835_astrocytes	kendall	OmniPath	50000	21	16.66	16	3.67415213884699	1.3125	1.18122490196118
GSE67835_astrocytes	kendall	OmniPath	1e+05	44	48.25	48.5	6.0875348712004	0.907216494845361	-0.698147951497803
