dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE67835_neurons	hamming	HIPPIE	20000	186	308.68	309.5	15.7537104816419	0.600969305331179	-7.78737175238566
GSE67835_neurons	hamming	HIPPIE	50000	460	713.96	710.5	25.5006119950328	0.647431386347643	-9.95897667277428
GSE67835_neurons	hamming	HIPPIE	1e+05	891	1416.77	1414	32.0778267608167	0.63012729844413	-16.3904495126905
GSE67835_neurons	hamming	Reactome	20000	565	321.23	319.5	17.119812493073	1.76838810641628	14.2390578225453
GSE67835_neurons	hamming	Reactome	50000	1323	720.58	717	26.714419365208	1.84518828451883	22.550368464477
GSE67835_neurons	hamming	Reactome	1e+05	2428	1355.45	1355.5	31.3643866108481	1.79122095167835	34.1964283665931
GSE67835_neurons	hamming	STRING	20000	168	158.77	156	11.0653294190239	1.07692307692308	0.834136938041038
GSE67835_neurons	hamming	STRING	50000	324	339.65	340.5	15.8651991936611	0.951541850220264	-0.986435771083976
GSE67835_neurons	hamming	STRING	1e+05	540	619.82	620.5	21.4637961566575	0.870265914585012	-3.71882025981886
GSE67835_neurons	hamming	OmniPath	20000	30	31.6	32	5.60843520552261	0.9375	-0.285284565367624
GSE67835_neurons	hamming	OmniPath	50000	67	73.65	73	8.78057428921849	0.917808219178082	-0.757353651476467
GSE67835_neurons	hamming	OmniPath	1e+05	132	154.53	155	11.3959544478634	0.851612903225806	-1.97701737955122
