dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE67835_neurons	spearman	HIPPIE	20000	468	498.67	497	15.6618658021336	0.941649899396378	-1.95825965995839
GSE67835_neurons	spearman	HIPPIE	50000	876	1011.17	1010.5	28.1170191819255	0.866897575457694	-4.80740860634656
GSE67835_neurons	spearman	HIPPIE	1e+05	1399	1694.6	1697	36.4569761652158	0.824395992928698	-8.10818754304799
GSE67835_neurons	spearman	Reactome	20000	1408	622.13	622	23.8186138059368	2.26366559485531	32.9939435771918
GSE67835_neurons	spearman	Reactome	50000	2859	1304.6	1303.5	29.7107265600704	2.19332566168009	52.3178050478587
GSE67835_neurons	spearman	Reactome	1e+05	4671	2280.3	2277.5	35.1422793509442	2.05093304061471	68.0291672638977
GSE67835_neurons	spearman	STRING	20000	386	240.67	241	14.1707159988193	1.60165975103734	10.255656807469
GSE67835_neurons	spearman	STRING	50000	611	424.9	425	18.388896518049	1.43764705882353	10.1202374931709
GSE67835_neurons	spearman	STRING	1e+05	874	666.29	667	24.929514778084	1.31034482758621	8.33189100746566
GSE67835_neurons	spearman	OmniPath	20000	167	82.97	82	9.04919774333503	2.03658536585366	9.28590604199033
GSE67835_neurons	spearman	OmniPath	50000	326	170.55	171	12.2963203825167	1.90643274853801	12.6419933089109
GSE67835_neurons	spearman	OmniPath	1e+05	494	282.11	283	14.2622585939963	1.74558303886926	14.8566931810643
